subject,subject_id,relation,object,object_id,surface_text,weight
 apple,/c/en/apple,HasProperty,red,/c/en/red,[[apple]] can be [[red]],9.591663046625438
 apple,/c/en/apple,HasProperty,green,/c/en/green,[[apple]] can be [[green]],7.211102550927979
 apple,/c/en/apple,ReceivesAction,eaten,/c/en/eaten,[[an apple]] can be [[eaten]],6.32455532033676
 apple,/c/en/apple,AtLocation, apple tree,/c/en/apple_tree,You are likely to find [[an apple]] in [[apple tree]],5.656854249492381
 apple,/c/en/apple,CapableOf,fall from a tree,/c/en/fall_from_tree,[[an apple]] can [[fall from a tree]],5.291502622129181
 apple,/c/en/apple,UsedFor,eating,/c/en/eating,[[apple]] is for [[eating]],5.291502622129181
 apple,/c/en/apple,HasA,a core,/c/en/core,[[An apple]] has [[a core]],4.898979485566356
 apple,/c/en/apple,AtLocation,a grocery store,/c/en/grocery_store,You are likely to find [[an apple]] in [[a grocery store]],4.0
 apple,/c/en/apple,UsedFor,sate hunger,/c/en/sate_hunger,You can use [[an apple]] to [[sate hunger]],2.0
 apple,/c/en/apple,HasA,many cooking uses,/c/en/many_cooking_uses,[[An apple]] has [[many cooking uses]],2.0
 cooking apple,/c/en/cooking_apple/n/wn/food,IsA, apple,/c/en/apple/n/wn/food,[[cooking apple]] is a type of [[apple]],2.0
 apple,/c/en/apple/n/wn/food,IsA,pome,/c/en/pome/n/wn/plant,[[apple]] is a type of [[pome]],2.0
 apple,/c/en/apple/n/wn/plant,IsA, apple tree,/c/en/apple_tree/n/wn/plant,[[apple]] is a type of [[apple tree]],2.0
 apple,/c/en/apple,IsA,computer brand,/c/en/computer_brand,[[Apple]] is a kind of [[computer brand]].,2.0
 crab apple,/c/en/crab_apple/n/wn/food,IsA, apple,/c/en/apple/n/wn/food,[[crab apple]] is a type of [[apple]],2.0
 apple,/c/en/apple/n/wn/food,PartOf, apple,/c/en/apple/n/wn/plant,[[apple]] is a part of [[apple]],2.0
 apple,/c/en/apple,UsedFor, making apple pie,/c/en/making_apple_pie,[[an apple]] is used for [[making apple pie]],2.0
 apple,/c/en/apple,HasA,a skin,/c/en/skin,[[an apple]] has [[a skin]],2.0
 apple,/c/en/apple/n/wn/food,IsA,edible fruit,/c/en/edible_fruit/n/wn/food,[[apple]] is a type of [[edible fruit]],2.0
 eating apple,/c/en/eating_apple/n/wn/food,IsA, apple,/c/en/apple/n/wn/food,[[eating apple]] is a type of [[apple]],2.0
 apple,/c/en/apple,HasA,seeds inside,/c/en/seeds_inside,[[An apple]] has [[seeds inside]],2.0
 apple,/c/en/apple,UsedFor,representing knowlege,/c/en/representing_knowlege,[[an apple]] is for [[representing knowlege]],1.0
