subject,subject_id,relation,object,object_id,surface_text,weight
 coffee,/c/en/coffee,IsA,a stimulant,/c/en/stimulant,[[coffee]] is [[a stimulant]],5.291502622129181
 coffee,/c/en/coffee,HasA,caffeine,/c/en/caffeine,[[Coffee]] contains [[caffeine]],4.898979485566356
 coffee,/c/en/coffee,HasProperty,served hot,/c/en/served_hot,[[Coffee]] is [[served hot]],4.47213595499958
 coffee,/c/en/coffee,AtLocation, coffee shop,/c/en/coffee_shop,You are likely to find [[coffee]] in [[a coffee shop]].,3.4641016151377544
a mug,/c/en/mug,UsedFor, coffee,/c/en/coffee,[[a mug]] is used for [[coffee]],2.82842712474619
 coffee,/c/en/coffee,ReceivesAction, made coffee beans,/c/en/made_from_coffee_beans,[[Coffee]] is [[made from coffee beans]],2.82842712474619
a sugar,/c/en/sugar,AtLocation, coffee,/c/en/coffee,You are likely to find [[a sugar]] in [[coffee]],2.82842712474619
 cappuccino coffee,/c/en/cappuccino_coffee/n/wn/food,IsA, coffee,/c/en/coffee/n/wn/food,[[cappuccino coffee]] is a type of [[coffee]],2.0
 coffee,/c/en/coffee,HasA,caffein,/c/en/caffein,[[coffee]] contains [[caffein]],2.0
 coffee,/c/en/coffee,IsA,a good after dinner drink,/c/en/good_after_dinner_drink,[[Coffee]] is [[a good after dinner drink]],2.0
cafe au lait,/c/en/cafe_au_lait/n/wn/food,IsA, coffee,/c/en/coffee/n/wn/food,[[cafe au lait]] is a type of [[coffee]],2.0
 coffee,/c/en/coffee,IsA,a beverage,/c/en/beverage,[[Coffee]] is [[a beverage]],2.0
 coffee,/c/en/coffee,AtLocation,a can,/c/en/can,*Something you find in [[a can]] is [[coffee]],2.0
 coffee,/c/en/coffee/n/wn/plant,IsA,tree,/c/en/tree/n/wn/plant,[[coffee]] is a type of [[tree]],2.0
 coffee,/c/en/coffee,IsA,an addictive substance,/c/en/addictive_substance,[[Coffee]] is [[an addictive substance]],2.0
 drip coffee,/c/en/drip_coffee/n/wn/food,IsA, coffee,/c/en/coffee/n/wn/food,[[drip coffee]] is a type of [[coffee]],2.0
 coffee substitute,/c/en/coffee_substitute/n/wn/food,IsA, coffee,/c/en/coffee/n/wn/food,[[coffee substitute]] is a type of [[coffee]],2.0
 arabian coffee,/c/en/arabian_coffee/n/wn/plant,IsA, coffee,/c/en/coffee/n/wn/plant,[[Arabian coffee]] is a type of [[coffee]],2.0
