subject,subject_id,relation,object,object_id,surface_text,weight
glasses,/c/en/glasses,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[glasses]],8.0
a bowl,/c/en/bowl,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a bowl]],7.211102550927979
plates,/c/en/plates,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[plates]],6.32455532033676
a mouse,/c/en/mouse,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a mouse]],5.291502622129181
food,/c/en/food,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[food]],4.898979485566356
a plate,/c/en/plate,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a plate]] in [[a cupboard]],4.0
a coffee mug,/c/en/coffee_mug,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a coffee mug]],4.0
a salad bowl,/c/en/salad_bowl,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a salad bowl]] in [[the cupboard]],3.4641016151377544
tea,/c/en/tea,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[tea]],3.4641016151377544
cans of food,/c/en/cans_of_food,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[cans of food]],3.4641016151377544
a salad spinner,/c/en/salad_spinner,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a salad spinner]] in [[the cupboard]],3.4641016151377544
 cupboard,/c/en/cupboard,UsedFor,storing your dishes,/c/en/storing_dishes,[[a cupboard]] is used for [[storing your dishes]],3.4641016151377544
mugs,/c/en/mugs,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[mugs]],3.4641016151377544
cereal,/c/en/cereal,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[cereal]],3.4641016151377544
a gravy boat,/c/en/gravy_boat,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a gravy boat]],2.82842712474619
a container,/c/en/container,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a container]] in [[the cupboard]],2.82842712474619
a cereal bowl,/c/en/cereal_bowl,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a cereal bowl]] in [[the cupboard]],2.82842712474619
canned goods,/c/en/canned_goods,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[canned goods]],2.82842712474619
a can,/c/en/can,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a can]] in [[a cupboard]],2.82842712474619
coffee cups,/c/en/coffee_cups,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[coffee cups]],2.82842712474619
a shelf,/c/en/shelf,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a shelf]],2.82842712474619
jars,/c/en/jars,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[jars]],2.82842712474619
pots,/c/en/pots,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[pots]],2.0
 airing cupboard,/c/en/airing_cupboard/n/wn/artifact,IsA, cupboard,/c/en/cupboard/n/wn/artifact,[[airing cupboard]] is a type of [[cupboard]],2.0
 cupboard,/c/en/cupboard,UsedFor,coffee mugs,/c/en/coffee_mugs,[[a cupboard]] is for [[coffee mugs]],2.0
supply closet,/c/en/supply_closet/n/wn/artifact,IsA, cupboard,/c/en/cupboard/n/wn/artifact,[[supply closet]] is a type of [[cupboard]],2.0
flour,/c/en/flour,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[flour]],2.0
 cupboard,/c/en/cupboard,UsedFor,keeping things clean,/c/en/keeping_things_clean,[[a cupboard]] is for [[keeping things clean]],2.0
safe,/c/en/safe/n/wn/artifact,IsA, cupboard,/c/en/cupboard/n/wn/artifact,[[safe]] is a type of [[cupboard]],2.0
stuff to make cookies,/c/en/stuff_to_make_cookies,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[stuff to make cookies]],2.0
a pot,/c/en/pot,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a pot]] in [[a cupboard]],2.0
broom closet,/c/en/broom_closet/n/wn/artifact,IsA, cupboard,/c/en/cupboard/n/wn/artifact,[[broom closet]] is a type of [[cupboard]],2.0
 cupboard,/c/en/cupboard/n/wn/artifact,IsA,storage space,/c/en/storage_space/n/wn/artifact,[[cupboard]] is a type of [[storage space]],2.0
a mug,/c/en/mug,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a mug]] in [[the cupboard]],2.0
cups and plates,/c/en/cups_and_plates,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[cups and plates]],2.0
a sugar,/c/en/sugar,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a sugar]] in [[a cupboard]],2.0
a saucepan,/c/en/saucepan,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a saucepan]] in [[a cupboard]],2.0
 cupboard,/c/en/cupboard,IsA,a compound word,/c/en/compound_word,[[cupboard]] is [[a compound word]],2.0
cans of soup,/c/en/cans_of_soup,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[cans of soup]],2.0
a tin,/c/en/tin,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a tin]] in [[a cupboard]],2.0
 cupboard,/c/en/cupboard,UsedFor,storing things,/c/en/storing_things,[[a cupboard]] is for [[storing things]],2.0
 cupboard,/c/en/cupboard,UsedFor,storing crockery,/c/en/storing_crockery,[[a cupboard]] is for [[Storing crockery]],2.0
a chess set,/c/en/chess_set,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a chess set]] in [[a cupboard]],2.0
a jar,/c/en/jar,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a jar]] in [[a cupboard]],2.0
 cupboard,/c/en/cupboard,CapableOf,store cups,/c/en/store_cups,[[a cupboard]] can [[store cups]],1.0
spiders,/c/en/spiders,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[spiders]],1.0
 cupboard,/c/en/cupboard,UsedFor,putting things in,/c/en/putting_things_in,[[a cupboard]] is for [[Putting things in]],1.0
a tea cup,/c/en/tea_cup,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a tea cup]] in [[the cupboard]],1.0
 cupboard,/c/en/cupboard,UsedFor,keeping things safe,/c/en/keeping_things_safe,[[a cupboard]] is for [[keeping things safe]],1.0
acne medication,/c/en/acne_medication,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[acne medication]] in [[a cupboard]],1.0
in storage,/c/en/in_storage,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[in storage]],1.0
 cupboard,/c/en/cupboard,UsedFor,keeping things tidy,/c/en/keeping_things_tidy,[[a cupboard]] is for [[keeping things tidy]],1.0
a wine glass,/c/en/wine_glass,AtLocation, cupboard,/c/en/cupboard,Somewhere [[a wine glass]] can be is in [[a cupboard]],1.0
spices,/c/en/spices,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[spices]],1.0
glassware,/c/en/glassware,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[glassware]],1.0
baked beans,/c/en/baked_beans,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[baked beans]],1.0
stuff,/c/en/stuff,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[stuff]] in [[a cupboard]].,1.0
a plastic,/c/en/plastic,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a plastic]] in [[a cupboard]],1.0
