subject,subject_id,relation,object,object_id,surface_text,weight
a dining table,/c/en/dining_table,UsedFor,eat dinner,/c/en/eat_dinner,You can use [[a dining table]] to [[eat dinner]],3.4641016151377544
a dining table,/c/en/dining_table,UsedFor,playing games on,/c/en/playing_games_on,[[a dining table]] is for [[playing games on]],2.82842712474619
dinner table,/c/en/dinner_table/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[dinner table]] is a type of [[dining table]],2.0
high table,/c/en/high_table/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[high table]] is a type of [[dining table]],2.0
triclinium,/c/en/triclinium/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[triclinium]] is a type of [[dining table]],2.0
a dining table,/c/en/dining_table,UsedFor,eat dinnner,/c/en/eat_dinnner,You can use [[a dining table]] to [[eat dinnner]],2.0
dining table,/c/en/dining_table/n/wn/artifact,IsA,table,/c/en/table/n/wn/artifact,[[dining table]] is a type of [[table]],2.0
dining-room table,/c/en/dining_room_table/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[dining-room table]] is a type of [[dining table]],2.0
refectory table,/c/en/refectory_table/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[refectory table]] is a type of [[dining table]],2.0
a dining table,/c/en/dining_table,UsedFor,sitting around with your family,/c/en/sitting_around_with_family,[[a dining table]] is for [[sitting around with your family]],2.0
a dining table,/c/en/dining_table,UsedFor,serving dinner,/c/en/serving_dinner,[[a dining table]] is for [[serving dinner]],2.0
a saucer,/c/en/saucer,AtLocation,dining table,/c/en/dining_table,You are likely to find [[a saucer]] in [[dining table]],1.0
dining table,/c/en/dining_table/n,IsA,table,/c/en/table,,1.0
a dining table,/c/en/dining_table,UsedFor,family meetings,/c/en/family_meetings,[[a dining table]] is for [[family meetings]],1.0
a dining table,/c/en/dining_table,UsedFor,placing served food,/c/en/placing_served_food,[[a dining table]] is used for [[placing served food]],1.0
a dining table,/c/en/dining_table,UsedFor,holding center pieces,/c/en/holding_center_pieces,[[a dining table]] is used for [[holding center pieces]],1.0
a dining table,/c/en/dining_table,UsedFor,putting food on,/c/en/putting_food_on,[[a dining table]] is for [[putting food on]],1.0
a dining table,/c/en/dining_table,UsedFor,eating dinner,/c/en/eating_dinner,[[a dining table]] is for [[eating dinner]],1.0
a dining table,/c/en/dining_table,UsedFor,making love,/c/en/making_love,[[a dining table]] is for [[making love]],1.0
a dining table,/c/en/dining_table,AtLocation,a house,/c/en/house,You are likely to find [[a dining table]] in [[a house]],1.0
a dining table,/c/en/dining_table,UsedFor,playing games,/c/en/playing_games,[[a dining table]] is for [[playing games]],1.0
