subject,subject_id,relation,object,object_id,surface_text,weight
 fork,/c/en/fork,AtLocation,the kitchen,/c/en/kitchen,*Something you find in [[the kitchen]] is [[a fork]],5.291502622129181
 fork,/c/en/fork,AtLocation,a table,/c/en/table,*Something you find on [[a table]] is [[a fork]],4.898979485566356
 fork,/c/en/fork,UsedFor,eating food,/c/en/eating_food,[[a fork]] is used for [[eating food]],4.47213595499958
 fork,/c/en/fork,AtLocation,drawer,/c/en/drawer,You are likely to find [[a fork]] in [[drawer]].,4.0
 fork,/c/en/fork,AtLocation,a plate,/c/en/plate,*Something you find on [[a plate]] is [[a fork]],2.82842712474619
 fork,/c/en/fork,AtLocation,the road,/c/en/road,You are likely to find [[a fork]] in [[the road]],2.82842712474619
 fork,/c/en/fork,IsA,eating utensil,/c/en/eating_utensil,[[A fork]] is a type of [[eating utensil]],2.0
 fork,/c/en/fork,UsedFor,eat food,/c/en/eat_food,You can use [[a fork]] to [[eat food]],2.0
prong,/c/en/prong/n/wn/artifact,PartOf, fork,/c/en/fork/n/wn/artifact,[[prong]] is a part of [[fork]],2.0
tine,/c/en/tine/n/wn/artifact,PartOf, fork,/c/en/fork/n/wn/artifact,[[tine]] is a part of [[fork]],2.0
 toasting fork,/c/en/toasting_fork/n/wn/artifact,IsA, fork,/c/en/fork/n/wn/artifact,[[toasting fork]] is a type of [[fork]],2.0
 fork,/c/en/fork,UsedFor,eat a meal,/c/en/eat_meal,You can use [[a fork]] to [[eat a meal]],2.0
 salad fork,/c/en/salad_fork/n/wn/artifact,IsA, fork,/c/en/fork/n/wn/artifact,[[salad fork]] is a type of [[fork]],2.0
 fork,/c/en/fork,UsedFor,picking up food,/c/en/picking_up_food,[[a fork]] is used for [[picking up food]],2.0
 fork,/c/en/fork,CapableOf,move the food to your mouth,/c/en/move_food_to_mouth,[[A fork]] can [[move the food to your mouth]],2.0
 carving fork,/c/en/carving_fork/n/wn/artifact,IsA, fork,/c/en/fork/n/wn/artifact,[[carving fork]] is a type of [[fork]],2.0
 fork,/c/en/fork,AtLocation,a plane,/c/en/plane,*Something you find in [[a plane]] is [[fork]],2.0
 hayfork,/c/en/hayfork/n/wn/artifact,IsA, fork,/c/en/fork/n/wn/artifact,[[hayfork]] is a type of [[fork]],2.0
 fork,/c/en/fork,UsedFor,eat dinner,/c/en/eat_dinner,You can use [[a fork]] to [[eat dinner]],2.0
 fork,/c/en/fork/n/wn/artifact,IsA,cutlery,/c/en/cutlery/n/wn/artifact,[[fork]] is a type of [[cutlery]],2.0
 tablefork,/c/en/tablefork/n/wn/artifact,IsA, fork,/c/en/fork/n/wn/artifact,[[tablefork]] is a type of [[fork]],2.0
 fork,/c/en/fork/n/wn/artifact,IsA,tool,/c/en/tool/n/wn/artifact,[[fork]] is a type of [[tool]],2.0
 fork,/c/en/fork,AtLocation,a kitchen drawer,/c/en/kitchen_drawer,You are likely to find [[a fork]] in [[a kitchen drawer]],2.0
 fork,/c/en/fork,HasA,prongs,/c/en/prongs,[[A fork]] has [[prongs]],2.0
 fork,/c/en/fork,AtLocation,a resturant,/c/en/resturant,*Something you find at [[a resturant]] is [[a fork]],1.0
 fork,/c/en/fork,UsedFor,lifting food from plate to mouth,/c/en/lifting_food_from_plate_to_mouth,[[a fork]] is used for [[lifting food from plate to mouth]],1.0
 fork,/c/en/fork/v/wn/change,ExternalURL,200141734-v,http://wordnet-rdf.princeton.edu/wn31/200141734-v,,1.0
 fork,/c/en/fork,UsedFor,eating meat,/c/en/eating_meat,[[a fork]] is for [[eating meat]],1.0
 fork,/c/en/fork/n,IsA,kitchenware,/c/en/kitchenware,,1.0
bifurcation,/c/en/bifurcation/n,SimilarTo, fork,/c/en/fork,,1.0
 fork,/c/en/fork,UsedFor,dividing a road in two,/c/en/dividing_road_in_two,[[a fork]] is for [[dividing a road in two]],1.0
 fork,/c/en/fork,UsedFor,lift food to your mouth,/c/en/lift_food_to_mouth,[[A fork]] can be used to [[lift food to your mouth]],1.0
 fork,/c/en/fork,CapableOf,be in a road,/c/en/in_road,[[a fork]] may [[be in a road]],1.0
