subject,subject_id,relation,object,object_id,surface_text,weight
 glass,/c/en/glass,UsedFor,drinking,/c/en/drinking,[[a glass]] is used for [[drinking]],7.211102550927979
 glass,/c/en/glass,ReceivesAction,broken,/c/en/broken,[[A glass]] can be [[broken]],5.291502622129181
 glass,/c/en/glass,CapableOf,hold liquid,/c/en/hold_liquid,[[A glass]] can [[hold liquid]],4.898979485566356
 glass,/c/en/glass,HasProperty,clear,/c/en/clear,[[glass]] is [[clear]],4.0
 glass,/c/en/glass,UsedFor,holding liquid,/c/en/holding_liquid,[[a glass]] is for [[holding liquid]],4.0
water,/c/en/water,AtLocation, glass,/c/en/glass,You are likely to find [[water]] in [[a glass]],4.0
 glass,/c/en/glass,UsedFor,seeing through,/c/en/seeing_through,[[a glass]] is for [[seeing through]],4.0
 glass,/c/en/glass,HasProperty,recyclable,/c/en/recyclable,[[Glass]] is [[recyclable]],4.0
 glass,/c/en/glass,ReceivesAction,recycled,/c/en/recycled,[[Glass]] can be [[recycled]],4.0
 glass,/c/en/glass,AtLocation,the cabinet,/c/en/cabinet,You are likely to find [[a glass]] in [[the cabinet]],4.0
 glass,/c/en/glass,CapableOf,break easily,/c/en/break_easily,[[glass]] can [[break easily]],4.0
 glass,/c/en/glass,AtLocation,a window,/c/en/window,You are likely to find [[a glass]] in [[a window]],3.4641016151377544
 glass,/c/en/glass,ReceivesAction,made from sand,/c/en/made_from_sand,[[Glass]] is [[made from sand]],3.4641016151377544
 glass,/c/en/glass,PartOf,a window,/c/en/window,[[The glass]] is part of [[a window]],3.4641016151377544
 glass,/c/en/glass,HasProperty,very fragile,/c/en/very_fragile,[[glass]] is [[very fragile]],3.4641016151377544
 glass,/c/en/glass,AtLocation,a kitchen,/c/en/kitchen,You are likely to find [[a glass]] in [[a kitchen]],2.82842712474619
some lenses,/c/en/lenses,MadeOf, glass,/c/en/glass,[[Some lenses]] are made of [[glass]],2.82842712474619
a lens,/c/en/lens,MadeOf, glass,/c/en/glass,[[A lens]] is made of [[glass]].,2.82842712474619
 glass,/c/en/glass,CapableOf,hold water,/c/en/hold_water,[[a glass]] can [[hold water]],2.82842712474619
 glass,/c/en/glass,IsA,a solid,/c/en/solid,[[Glass]] is [[a solid]],2.82842712474619
 natural glass,/c/en/natural_glass/n/wn/substance,IsA, glass,/c/en/glass/n/wn/substance,[[natural glass]] is a type of [[glass]],2.0
 optical glass,/c/en/optical_glass/n/wn/substance,IsA, glass,/c/en/glass/n/wn/substance,[[optical glass]] is a type of [[glass]],2.0
 glass,/c/en/glass/n/wn/substance,IsA,solid,/c/en/solid/n/wn/substance,[[glass]] is a type of [[solid]],2.0
 ground glass,/c/en/ground_glass/n/wn/substance,IsA, glass,/c/en/glass/n/wn/substance,[[ground glass]] is a type of [[glass]],2.0
 glass,/c/en/glass,HasProperty,dirty,/c/en/dirty,[[A glass]] can be [[dirty]],2.0
 glass,/c/en/glass,HasProperty,clean,/c/en/clean,[[A glass]] can be [[clean]],2.0
 beer glass,/c/en/beer_glass/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[beer glass]] is a type of [[glass]],2.0
 water glass,/c/en/water_glass/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[water glass]] is a type of [[glass]],2.0
 wire glass,/c/en/wire_glass/n/wn/substance,IsA, glass,/c/en/glass/n/wn/substance,[[wire glass]] is a type of [[glass]],2.0
rummer,/c/en/rummer/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[rummer]] is a type of [[glass]],2.0
 liqueur glass,/c/en/liqueur_glass/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[liqueur glass]] is a type of [[glass]],2.0
 wineglass,/c/en/wineglass/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[wineglass]] is a type of [[glass]],2.0
 highball glass,/c/en/highball_glass/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[highball glass]] is a type of [[glass]],2.0
tumbler,/c/en/tumbler/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[tumbler]] is a type of [[glass]],2.0
schooner,/c/en/schooner/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[schooner]] is a type of [[glass]],2.0
bumper,/c/en/bumper/n/wn/artifact,IsA, glass,/c/en/glass/n/wn/artifact,[[bumper]] is a type of [[glass]],2.0
