subject,subject_id,relation,object,object_id,surface_text,weight
 knife,/c/en/knife,CapableOf,spread butter,/c/en/spread_butter,[[knife]] can [[spread butter]],9.38083151964686
 knife,/c/en/knife,AtLocation,the kitchen,/c/en/kitchen,*Something you find in [[the kitchen]] is [[a knife]],6.92820323027551
 knife,/c/en/knife,CapableOf,spread peanut butter,/c/en/spread_peanut_butter,[[A knife]] can [[spread peanut butter]],6.0
 knife,/c/en/knife,UsedFor,stabbing,/c/en/stabbing,[[knife]] is for [[stabbing]],5.656854249492381
 knife,/c/en/knife,AtLocation,a drawer,/c/en/drawer,*Something you find in [[a drawer]] is [[a knife]],4.47213595499958
 knife,/c/en/knife,UsedFor,butter,/c/en/butter,[[a knife]] is used for [[butter]],4.0
the blade,/c/en/blade,PartOf, knife,/c/en/knife,[[The blade]] is part of [[a knife]],4.0
 knife,/c/en/knife,UsedFor,cutting food,/c/en/cutting_food,[[a knife]] is for [[cutting food]],3.4641016151377544
 knife,/c/en/knife,AtLocation,a pocket,/c/en/pocket,*Something you find in [[a pocket]] is [[knife]],3.4641016151377544
 knife,/c/en/knife,IsA,tool,/c/en/tool,[[A knife]] is a type of [[tool]],3.4641016151377544
 knife,/c/en/knife,CapableOf,butter bread,/c/en/butter_bread,[[a knife]] can [[butter bread]],3.4641016151377544
 knife,/c/en/knife,AtLocation,the kitchen drawer,/c/en/kitchen_drawer,You are likely to find [[a knife]] in [[the kitchen drawer]],3.4641016151377544
 knife,/c/en/knife,CapableOf,hurt a dog,/c/en/hurt_dog,[[a knife]] can [[hurt a dog]],3.4641016151377544
 knife,/c/en/knife,CapableOf,cut,/c/en/cut,[[A knife]] can [[cut]],3.4641016151377544
 knife,/c/en/knife,CapableOf,cut that apple,/c/en/cut_apple,[[a knife]] can [[cut that apple]],3.4641016151377544
 knife,/c/en/knife,CapableOf,hurt,/c/en/hurt,[[a knife]] can [[hurt]],2.82842712474619
 knife,/c/en/knife,UsedFor,slicing,/c/en/slicing,[[a knife]] is used for [[slicing]],2.82842712474619
 knife,/c/en/knife,UsedFor,carving wood,/c/en/carving_wood,[[a knife]] is used for [[carving wood]],2.82842712474619
machete,/c/en/machete/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[machete]] is a type of [[knife]],2.0
khukuri,/c/en/khukuri/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[khukuri]] is a type of [[knife]],2.0
 bread knife,/c/en/bread_knife/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[bread knife]] is a type of [[knife]],2.0
 knife,/c/en/knife,UsedFor,killing,/c/en/killing,[[a knife]] is used for [[killing]],2.0
yataghan,/c/en/yataghan/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[yataghan]] is a type of [[knife]],2.0
 knife,/c/en/knife/n/wn/artifact,UsedFor,cut,/c/en/cut/v/wn/contact,[[knife]] is used for [[cut]],2.0
 knife,/c/en/knife,UsedFor,pare an apple,/c/en/pare_apple,You can use [[a knife]] to [[pare an apple]],2.0
 pruning knife,/c/en/pruning_knife/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[pruning knife]] is a type of [[knife]],2.0
 pocketknife,/c/en/pocketknife/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[pocketknife]] is a type of [[knife]],2.0
barong,/c/en/barong/n/wn/artifact,IsA, knife,/c/en/knife/n/wn/artifact,[[barong]] is a type of [[knife]],2.0
 knife,/c/en/knife/n/wn/artifact,UsedFor,stab,/c/en/stab/v/wn/contact,[[knife]] is used for [[stab]],2.0
 knife,/c/en/knife,UsedFor,cut meat with,/c/en/cut_meat_with,You can use [[a knife]] to [[cut meat with]],2.0
