subject,subject_id,relation,object,object_id,surface_text,weight
food,/c/en/food,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[food]],8.246211251235321
butter,/c/en/butter,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[butter]],6.0
milk,/c/en/milk,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[milk]],4.898979485566356
a fungus,/c/en/fungus,AtLocation, refrigerator,/c/en/refrigerator,You are likely to find [[a fungus]] in [[your refrigerator]],4.898979485566356
 refrigerator,/c/en/refrigerator,UsedFor,keeping food cold,/c/en/keeping_food_cold,[[a refrigerator]] is for [[keeping food cold]],4.898979485566356
cheese,/c/en/cheese,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[cheese]],4.898979485566356
beer,/c/en/beer,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[beer]],4.47213595499958
 refrigerator,/c/en/refrigerator,UsedFor,keeping food from spoiling,/c/en/keeping_food_from_spoiling,[[a refrigerator]] is for [[keeping food from spoiling]],4.0
 refrigerator,/c/en/refrigerator,CapableOf,cool food,/c/en/cool_food,[[a refrigerator]] can [[cool food]],3.4641016151377544
a container,/c/en/container,AtLocation, refrigerator,/c/en/refrigerator,You are likely to find [[a container]] in [[a refrigerator]],3.4641016151377544
 refrigerator,/c/en/refrigerator,IsA,a machine,/c/en/machine,[[A refrigerator]] is [[a machine]],3.4641016151377544
a wiener dog,/c/en/wiener_dog,AtLocation, refrigerator,/c/en/refrigerator,You are likely to find [[a wiener dog]] in [[the refrigerator]],2.82842712474619
 refrigerator,/c/en/refrigerator,UsedFor,causing the jello to jell,/c/en/causing_jello_to_jell,[[a refrigerator]] is used for [[causing the jello to jell]],2.82842712474619
 refrigerator,/c/en/refrigerator,UsedFor,storing foods,/c/en/storing_foods,[[a refrigerator]] is used for [[storing foods]],2.82842712474619
lettuce,/c/en/lettuce,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[lettuce]],2.82842712474619
juice,/c/en/juice,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[juice]],2.82842712474619
 refrigerator,/c/en/refrigerator,AtLocation,the garage,/c/en/garage,You are likely to find [[a refrigerator]] in [[the garage]],2.82842712474619
tomatoes,/c/en/tomatoes,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[tomatoes]],2.82842712474619
leftovers,/c/en/leftovers,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[leftovers]],2.82842712474619
a carton of milk,/c/en/carton_of_milk,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[a carton of milk]],2.82842712474619
salad,/c/en/salad,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[salad]],2.82842712474619
carrots,/c/en/carrots,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[carrots]],2.82842712474619
a jar,/c/en/jar,AtLocation, refrigerator,/c/en/refrigerator,You are likely to find [[a jar]] in [[a refrigerator]],2.82842712474619
 refrigerator,/c/en/refrigerator,CapableOf,keep food cold,/c/en/keep_food_cold,[[A refrigerator]] can [[keep food cold]],2.0
orange juice,/c/en/orange_juice,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[orange juice]],2.0
pickles,/c/en/pickles,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[pickles]],2.0
 refrigerator,/c/en/refrigerator/n/wn/artifact,IsA,white goods,/c/en/white_goods/n/wn/artifact,[[refrigerator]] is a type of [[white goods]],2.0
a shelf,/c/en/shelf,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[a shelf]],2.0
refrigeration system,/c/en/refrigeration_system/n/wn/artifact,PartOf, refrigerator,/c/en/refrigerator/n/wn/artifact,[[refrigeration system]] is a part of [[refrigerator]],2.0
bread,/c/en/bread,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[bread]],2.0
a tomato,/c/en/tomato,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[a tomato]],2.0
drawers,/c/en/drawers,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[drawers]],2.0
moldy food,/c/en/moldy_food,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[moldy food]],2.0
bottled water,/c/en/bottled_water,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[bottled water]],2.0
grape juice,/c/en/grape_juice,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[grape juice]],2.0
pie,/c/en/pie,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[pie]],2.0
 refrigerator,/c/en/refrigerator,UsedFor,keeping meats from spoiling,/c/en/keeping_meats_from_spoiling,[[a refrigerator]] is used for [[keeping meats from spoiling]],2.0
mayonnaise,/c/en/mayonnaise,AtLocation, refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[mayonnaise]],2.0
