subject,subject_id,relation,object,object_id,surface_text,weight
 spoon,/c/en/spoon,UsedFor,eating,/c/en/eating,[[a spoon]] is for [[Eating]],6.92820323027551
 spoon,/c/en/spoon,AtLocation,bowl,/c/en/bowl,You are likely to find [[a spoon]] in [[bowl]],2.82842712474619
 spoon,/c/en/spoon,AtLocation,dinner,/c/en/dinner,*Something you find at [[dinner]] is [[a spoon]],2.82842712474619
 spoon,/c/en/spoon,IsA,a utensil,/c/en/utensil,[[A spoon]] is [[a utensil]],2.82842712474619
 spoon,/c/en/spoon/n/wn/quantity,IsA,containerful,/c/en/containerful/n/wn/quantity,[[spoon]] is a type of [[containerful]],2.0
 dessert spoon,/c/en/dessert_spoon/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[dessert spoon]] is a type of [[spoon]],2.0
 tablespoon,/c/en/tablespoon/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[tablespoon]] is a type of [[spoon]],2.0
 spoon,/c/en/spoon,UsedFor,eating ice cream,/c/en/eating_ice_cream,[[a spoon]] is for [[eating ice cream]],2.0
 spoon,/c/en/spoon,UsedFor,scooping food,/c/en/scooping_food,[[A spoon]] is for [[scooping food]],2.0
 spoon,/c/en/spoon/n/wn/artifact,IsA,container,/c/en/container/n/wn/artifact,[[spoon]] is a type of [[container]],2.0
 spoon,/c/en/spoon/n/wn/artifact,IsA,cutlery,/c/en/cutlery/n/wn/artifact,[[spoon]] is a type of [[cutlery]],2.0
 spoon,/c/en/spoon,UsedFor,eating cereal,/c/en/eating_cereal,[[a spoon]] is for [[eating cereal]],2.0
 spoon,/c/en/spoon,UsedFor,stirring coffee,/c/en/stirring_coffee,[[a spoon]] is for [[stirring coffee]],2.0
 soupspoon,/c/en/soupspoon/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[soupspoon]] is a type of [[spoon]],2.0
 runcible spoon,/c/en/runcible_spoon/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[runcible spoon]] is a type of [[spoon]],2.0
 wooden spoon,/c/en/wooden_spoon/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[wooden spoon]] is a type of [[spoon]],2.0
 sugar spoon,/c/en/sugar_spoon/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[sugar spoon]] is a type of [[spoon]],2.0
 teaspoon,/c/en/teaspoon,IsA, spoon,/c/en/spoon,[[teaspoon]] is [[a spoon]],2.0
eating ice cream,/c/en/eating_ice_cream,HasPrerequisite, spoon,/c/en/spoon,[[eating ice cream]] requires [[a spoon]],2.0
tea maker,/c/en/tea_maker/n/wn/artifact,IsA, spoon,/c/en/spoon/n/wn/artifact,[[tea maker]] is a type of [[spoon]],2.0
 spoon,/c/en/spoon/n/wn/artifact,IsA,wood,/c/en/wood/n/wn/artifact,[[spoon]] is a type of [[wood]],2.0
