subject,subject_id,relation,object,object_id,surface_text,weight
apple,/c/en/apple,RelatedTo,fruit,/c/en/fruit,[[apple]] is related to [[fruit]],12.80968383684781
apple,/c/en/apple,HasProperty,red,/c/en/red,[[apple]] can be [[red]],9.591663046625438
apple,/c/en/apple,RelatedTo,red,/c/en/red,[[apple]] is related to [[red]],9.309350138436088
apple,/c/en/apple,HasProperty,green,/c/en/green,[[apple]] can be [[green]],7.211102550927979
an apple,/c/en/apple,ReceivesAction,eaten,/c/en/eaten,[[an apple]] can be [[eaten]],6.32455532033676
an apple,/c/en/apple,AtLocation,apple tree,/c/en/apple_tree,You are likely to find [[an apple]] in [[apple tree]],5.656854249492381
an apple,/c/en/apple,CapableOf,fall from a tree,/c/en/fall_from_tree,[[an apple]] can [[fall from a tree]],5.291502622129181
apple,/c/en/apple,UsedFor,eating,/c/en/eating,[[apple]] is for [[eating]],5.291502622129181
An apple,/c/en/apple,HasA,a core,/c/en/core,[[An apple]] has [[a core]],4.898979485566356
apple,/c/en/apple,RelatedTo,red fruit,/c/en/red_fruit,[[apple]] is related to [[red fruit]],4.827835954131002
apple,/c/en/apple,RelatedTo,green,/c/en/green,[[apple]] is related to [[green]],4.44837048816755
apple,/c/en/apple,RelatedTo,core,/c/en/core,[[apple]] is related to [[core]],4.441171016747722
apple,/c/en/apple,RelatedTo,eve,/c/en/eve,[[apple]] is related to [[eve]],4.315089802078283
apple,/c/en/apple,RelatedTo,tree,/c/en/tree,[[apple]] is related to [[tree]],4.297441099072796
apple,/c/en/apple,RelatedTo,computer,/c/en/computer,[[apple]] is related to [[computer]],4.164132562731402
apple,/c/en/apple,RelatedTo,round,/c/en/round,[[apple]] is related to [[round]],4.144393803682271
an apple,/c/en/apple,AtLocation,a grocery store,/c/en/grocery_store,You are likely to find [[an apple]] in [[a grocery store]],4.0
apple,/c/en/apple,RelatedTo,mac,/c/en/mac,[[apple]] is related to [[mac]],3.887415593938986
apple,/c/en/apple,RelatedTo,adam,/c/en/adam,[[apple]] is related to [[adam]],3.6149688795340964
apple,/c/en/apple,RelatedTo,pie,/c/en/pie,[[apple]] is related to [[pie]],3.604441704342019
apple,/c/en/apple,RelatedTo,pear,/c/en/pear,[[apple]] is related to [[pear]],3.0672463220289305
apple,/c/en/apple,RelatedTo,macintosh,/c/en/macintosh,[[apple]] is related to [[macintosh]],2.9933259094191538
apple,/c/en/apple,RelatedTo,seeds,/c/en/seeds,[[apple]] is related to [[seeds]],2.93393933134276
apple,/c/en/apple,RelatedTo,eden,/c/en/eden,[[apple]] is related to [[eden]],2.9318935860634507
apple,/c/en/apple,RelatedTo,stem,/c/en/stem,[[apple]] is related to [[stem]],2.6877499883731746
apple,/c/en/apple,RelatedTo,trees,/c/en/trees,[[apple]] is related to [[trees]],2.6765649627834556
apple,/c/en/apple,RelatedTo,orange,/c/en/orange,[[apple]] is related to [[orange]],2.571380951940027
apple,/c/en/apple,RelatedTo,delicious,/c/en/delicious,[[apple]] is related to [[delicious]],2.42404620418011
apple,/c/en/apple,RelatedTo,food,/c/en/food,[[apple]] is related to [[food]],2.318620279390311
apple,/c/en/apple,RelatedTo,adam eve,/c/en/adam_eve,[[apple]] is related to [[adam eve]],2.2045407685048604
apple,/c/en/apple,RelatedTo,skin,/c/en/skin,[[apple]] is related to [[skin]],2.1762352813976715
apple,/c/en/apple/n,Synonym,apple tree,/c/en/apple_tree,,2.0
sagarrondo,/c/eu/sagarrondo/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[sagarrondo]] is a translation of [[apple]],2.0
mela,/c/it/mela/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[mela]] is a translation of [[apple]],2.0
epal,/c/ms/epal/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[epal]] is a translation of [[apple]],2.0
an apple,/c/en/apple,UsedFor,sate hunger,/c/en/sate_hunger,You can use [[an apple]] to [[sate hunger]],2.0
apple core,/c/en/apple_core,DerivedFrom,apple,/c/en/apple/n,,2.0
eple,/c/no/eple/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[eple]] is a translation of [[apple]],2.0
bad apple,/c/en/bad_apple,DerivedFrom,apple,/c/en/apple/n,,2.0
jabučast,/c/sh/jabučast/a,RelatedTo,apple,/c/en/apple,,2.0
omena,/c/fi/omena/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[omena]] is a translation of [[apple]],2.0
ต้นแอปเปิ้ลสวน,/c/th/ต้นแอปเปิ้ลสวน/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[ต้นแอปเปิ้ลสวน]] is a translation of [[apple]],2.0
An apple,/c/en/apple,HasA,many cooking uses,/c/en/many_cooking_uses,[[An apple]] has [[many cooking uses]],2.0
pommier,/c/fr/pommier/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[pommier]] is a translation of [[apple]],2.0
maçã,/c/pt/maçã/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[maçã]] is a translation of [[apple]],2.0
apple blossom,/c/en/apple_blossom,DerivedFrom,apple,/c/en/apple/n,,2.0
cooking apple,/c/en/cooking_apple/n/wn/food,IsA,apple,/c/en/apple/n/wn/food,[[cooking apple]] is a type of [[apple]],2.0
jabłko,/c/pl/jabłko/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[jabłko]] is a translation of [[apple]],2.0
apple,/c/en/apple/n/wn/food,IsA,pome,/c/en/pome/n/wn/plant,[[apple]] is a type of [[pome]],2.0
مردمک چشم,/c/fa/مردمک_چشم/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[مردمک چشم]] is a translation of [[apple]],2.0
pokok epal,/c/id/pokok_epal/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[pokok epal]] is a translation of [[apple]],2.0
quadra,/c/pt/quadra/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[quadra]] is a translation of [[apple]],2.0
Malus pumila,/c/en/malus_pumila/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[Malus pumila]] is a synonym of [[apple]],2.0
apple juice,/c/en/apple_juice,DerivedFrom,apple,/c/en/apple/n,,2.0
epal,/c/id/epal/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[epal]] is a translation of [[apple]],2.0
Malus pumila,/c/fi/malus_pumila/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[Malus pumila]] is a translation of [[apple]],2.0
ผลแอปเปิ้ล,/c/th/ผลแอปเปิ้ล/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[ผลแอปเปิ้ล]] is a translation of [[apple]],2.0
apple pie,/c/en/apple_pie,DerivedFrom,apple,/c/en/apple/n,,2.0
تُفَّاح,/c/ar/تفاح/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[تُفَّاح]] is a translation of [[apple]],2.0
ลูกแอปเปิ้ล,/c/th/ลูกแอปเปิ้ล/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[ลูกแอปเปิ้ล]] is a translation of [[apple]],2.0
apple,/c/en/apple/n/wn/plant,IsA,apple tree,/c/en/apple_tree/n/wn/plant,[[apple]] is a type of [[apple tree]],2.0
macieira,/c/pt/macieira/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[macieira]] is a translation of [[apple]],2.0
תַּפּוּחַ,/c/he/תפוח/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[תַּפּוּחַ]] is a translation of [[apple]],2.0
りんごの木,/c/ja/りんごの木/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[りんごの木]] is a translation of [[apple]],2.0
リンゴ,/c/ja/リンゴ/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[リンゴ]] is a translation of [[apple]],2.0
malus pumila,/c/fr/malus_pumila/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[malus pumila]] is a translation of [[apple]],2.0
apel,/c/id/apel/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[apel]] is a translation of [[apple]],2.0
madeira de macieira,/c/pt/madeira_de_macieira/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[madeira de macieira]] is a translation of [[apple]],2.0
תַּפּוּחַ,/c/he/תפוח/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[תַּפּוּחַ]] is a translation of [[apple]],2.0
pomme,/c/fr/pomme/n,Synonym,apple,/c/en/apple,,2.0
pomme,/c/fr/pomme/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[pomme]] is a translation of [[apple]],2.0
西洋林檎,/c/ja/西洋林檎/n,Synonym,apple,/c/en/apple,,2.0
macieira,/c/pt/macieira/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[macieira]] is a translation of [[apple]],2.0
tarhaomenapuu,/c/fi/tarhaomenapuu/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[tarhaomenapuu]] is a translation of [[apple]],2.0
アップル,/c/ja/アップル/n/jmdict/1,Synonym,apple,/c/en/apple,,2.0
Apple,/c/en/apple,IsA,computer brand,/c/en/computer_brand,[[Apple]] is a kind of [[computer brand]].,2.0
jabukovača,/c/sh/jabukovača/n,RelatedTo,apple,/c/en/apple,,2.0
crab apple,/c/en/crab_apple/n/wn/food,IsA,apple,/c/en/apple/n/wn/food,[[crab apple]] is a type of [[apple]],2.0
pomer,/c/ca/pomer/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[pomer]] is a translation of [[apple]],2.0
林檎,/c/ja/林檎/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[林檎]] is a translation of [[apple]],2.0
manzano,/c/es/manzano/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[manzano]] is a translation of [[apple]],2.0
sagar,/c/eu/sagar/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[sagar]] is a translation of [[apple]],2.0
سیب,/c/fa/سیب/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[سیب]] is a translation of [[apple]],2.0
pomme,/c/fr/pomme/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[pomme]] is a translation of [[apple]],2.0
apple polish,/c/en/apple_polish,DerivedFrom,apple,/c/en/apple/n,,2.0
Malus pumila,/c/ca/malus_pumila/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[Malus pumila]] is a translation of [[apple]],2.0
林檎,/c/ja/林檎/n/jmdict/1,Synonym,apple,/c/en/apple,,2.0
orchard apple tree,/c/en/orchard_apple_tree/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[orchard apple tree]] is a synonym of [[apple]],2.0
แอปเปิ้ล,/c/th/แอปเปิ้ล/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[แอปเปิ้ล]] is a translation of [[apple]],2.0
æble,/c/da/æble/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[æble]] is a translation of [[apple]],2.0
jabukovina,/c/sh/jabukovina/n,RelatedTo,apple,/c/en/apple,,2.0
apple,/c/en/apple/n/wn/food,PartOf,apple,/c/en/apple/n/wn/plant,[[apple]] is a part of [[apple]],2.0
maçã,/c/pt/maçã/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[maçã]] is a translation of [[apple]],2.0
apple strudel,/c/en/apple_strudel,DerivedFrom,apple,/c/en/apple/n,,2.0
manzana,/c/es/manzana/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[manzana]] is a translation of [[apple]],2.0
سیب,/c/fa/سیب/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[سیب]] is a translation of [[apple]],2.0
an apple,/c/en/apple,UsedFor,making apple pie,/c/en/making_apple_pie,[[an apple]] is used for [[making apple pie]],2.0
apple,/c/en/apple/n,Synonym,jabuka,/c/sh/jabuka,,2.0
jabučni,/c/sh/jabučni/a,RelatedTo,apple,/c/en/apple,,2.0
an apple,/c/en/apple,HasA,a skin,/c/en/skin,[[an apple]] has [[a skin]],2.0
jabuka,/c/sh/jabuka/n,RelatedTo,apple,/c/en/apple,,2.0
アップル,/c/ja/アップル,Synonym,apple,/c/en/apple,,2.0
pomo,/c/it/pomo/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[pomo]] is a translation of [[apple]],2.0
リンゴ,/c/ja/リンゴ/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[リンゴ]] is a translation of [[apple]],2.0
pokok epal,/c/ms/pokok_epal/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[pokok epal]] is a translation of [[apple]],2.0
apple,/c/en/apple/n/wn/food,IsA,edible fruit,/c/en/edible_fruit/n/wn/food,[[apple]] is a type of [[edible fruit]],2.0
苹果,/c/ja/苹果/n/jmdict/1,Synonym,apple,/c/en/apple,,2.0
eating apple,/c/en/eating_apple/n/wn/food,IsA,apple,/c/en/apple/n/wn/food,[[eating apple]] is a type of [[apple]],2.0
An apple,/c/en/apple,HasA,seeds inside,/c/en/seeds_inside,[[An apple]] has [[seeds inside]],2.0
mollë,/c/sq/mollë/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[mollë]] is a translation of [[apple]],2.0
りんご,/c/ja/りんご/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[りんご]] is a translation of [[apple]],2.0
poma,/c/ca/poma/n/wn/food,Synonym,apple,/c/en/apple/n/wn/food,[[poma]] is a translation of [[apple]],2.0
omena,/c/fi/omena/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[omena]] is a translation of [[apple]],2.0
jabučica,/c/sh/jabučica/n,RelatedTo,apple,/c/en/apple,,2.0
Malus pumila,/c/es/malus_pumila/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[Malus pumila]] is a translation of [[apple]],2.0
مردمک چشم,/c/fa/مردمک_چشم/n/wn/plant,Synonym,apple,/c/en/apple/n/wn/plant,[[مردمک چشم]] is a translation of [[apple]],2.0
apple,/c/en/apple,Antonym,orange,/c/en/orange,[[apple]] is the opposite of [[orange]],1.8489999999999998
apple,/c/en/apple,RelatedTo,pies,/c/en/pies,[[apple]] is related to [[pies]],1.843
apple,/c/en/apple,RelatedTo,forbidden,/c/en/forbidden,[[apple]] is related to [[forbidden]],1.8120000000000003
apple,/c/en/apple,RelatedTo,red green,/c/en/red_green,[[apple]] is related to [[red green]],1.775
apple,/c/en/apple,RelatedTo,cider,/c/en/cider,[[apple]] is related to [[cider]],1.767
apple,/c/en/apple,RelatedTo,green fruit,/c/en/green_fruit,[[apple]] is related to [[green fruit]],1.7320000000000002
apple,/c/en/apple,DistinctFrom,orange,/c/en/orange,[[apple]] is not [[orange]],1.69
