subject,subject_id,relation,object,object_id,surface_text,weight
butter,/c/en/butter,IsA,a food,/c/en/food,[[butter]] is [[a food]],7.483314773547882
butter,/c/en/butter,AtLocation,the refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[butter]],6.0
Butter,/c/en/butter,HasProperty,yellow,/c/en/yellow,[[Butter]] is [[yellow]],5.656854249492381
Butter,/c/en/butter,CapableOf,spread at room temperature,/c/en/spread_at_room_temperature,[[Butter]] can [[spread at room temperature]],5.291502622129181
Butter,/c/en/butter,ReceivesAction,made from milk,/c/en/made_from_milk,[[Butter]] is [[made from milk]],5.291502622129181
Butter,/c/en/butter,IsA,a dairy product,/c/en/dairy_product,[[Butter]] is [[a dairy product]],4.898979485566356
butter,/c/en/butter,AtLocation,the fridge,/c/en/fridge,*Something you find in [[the fridge]] is [[butter]],4.898979485566356
Butter,/c/en/butter,CapableOf,spread on bread,/c/en/spread_on_bread,[[Butter]] can [[spread on bread]],4.898979485566356
butter,/c/en/butter,AtLocation,a restaurant,/c/en/restaurant,*Something you find in [[a restaurant]] is [[butter]],4.47213595499958
butter,/c/en/butter,AtLocation,a pastry,/c/en/pastry,You are likely to find [[butter]] in [[a pastry]],4.47213595499958
a knife,/c/en/knife,UsedFor,butter,/c/en/butter,[[a knife]] is used for [[butter]],4.0
Butter,/c/en/butter,ReceivesAction,made from cream,/c/en/made_from_cream,[[Butter]] is [[made from cream]],4.0
butter,/c/en/butter,ReceivesAction,eaten with toast,/c/en/eaten_with_toast,[[butter]] is [[eaten with toast]],4.0
butter,/c/en/butter,IsA,an ingredient often,/c/en/ingredient_often,[[butter]] is [[an ingredient often]],4.0
bread,/c/en/bread,RelatedTo,butter,/c/en/butter,[[bread]] is related to [[butter]],2.679552201394852
butter,/c/en/butter,RelatedTo,bread,/c/en/bread,[[butter]] is related to [[bread]],2.4421302176583453
yak butter,/c/en/yak_butter/n/wn/food,IsA,butter,/c/en/butter/n/wn/food,[[yak butter]] is a type of [[butter]],2.0
manteiga,/c/pt/manteiga/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[manteiga]] is a translation of [[butter]],2.0
روغن,/c/fa/روغن/n/wn/person,Synonym,butter,/c/en/butter/n/wn/person,[[روغن]] is a translation of [[butter]],2.0
beurre,/c/fr/beurre/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[beurre]] is a translation of [[butter]],2.0
beurrer,/c/fr/beurrer/v/wn/contact,Synonym,butter,/c/en/butter/v/wn/contact,[[beurrer]] is a translation of [[butter]],2.0
butter,/c/en/butter/v/wn/contact,MannerOf,cover,/c/en/cover/v/wn/contact,[[butter]] is a way to [[cover]],2.0
乳酪,/c/ja/乳酪/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[乳酪]] is a translation of [[butter]],2.0
Butter,/c/en/butter,ReceivesAction,made from churned milk,/c/en/made_from_churned_milk,[[Butter]] is [[made from churned milk]],2.0
butter,/c/en/butter/n/wn/food,IsA,food,/c/en/food/n/wn/food,[[butter]] is a type of [[food]],2.0
voidella,/c/fi/voidella/v/wn/contact,Synonym,butter,/c/en/butter/v/wn/contact,[[voidella]] is a translation of [[butter]],2.0
