subject,subject_id,relation,object,object_id,surface_text,weight
coffee,/c/en/coffee,IsA,a stimulant,/c/en/stimulant,[[coffee]] is [[a stimulant]],5.291502622129181
Coffee,/c/en/coffee,HasA,caffeine,/c/en/caffeine,[[Coffee]] contains [[caffeine]],4.898979485566356
Coffee,/c/en/coffee,HasProperty,served hot,/c/en/served_hot,[[Coffee]] is [[served hot]],4.47213595499958
Café,/c/pt/café/n/wn/food,Synonym,coffee,/c/en/coffee/n/wn/food,[[Café]] is a translation of [[coffee]],3.4641016151377544
coffee,/c/en/coffee,AtLocation,a coffee shop,/c/en/coffee_shop,You are likely to find [[coffee]] in [[a coffee shop]].,3.4641016151377544
a mug,/c/en/mug,UsedFor,coffee,/c/en/coffee,[[a mug]] is used for [[coffee]],2.82842712474619
Coffee,/c/en/coffee,ReceivesAction,made from coffee beans,/c/en/made_from_coffee_beans,[[Coffee]] is [[made from coffee beans]],2.82842712474619
a sugar,/c/en/sugar,AtLocation,coffee,/c/en/coffee,You are likely to find [[a sugar]] in [[coffee]],2.82842712474619
sugar,/c/en/sugar,RelatedTo,coffee,/c/en/coffee,[[sugar]] is related to [[coffee]],2.6548069609672194
café,/c/es/café/n/wn/food,Synonym,coffee,/c/en/coffee/n/wn/food,[[café]] is a translation of [[coffee]],2.0
cappuccino coffee,/c/en/cappuccino_coffee/n/wn/food,IsA,coffee,/c/en/coffee/n/wn/food,[[cappuccino coffee]] is a type of [[coffee]],2.0
珈琲,/c/ja/珈琲/n/wn/food,Synonym,coffee,/c/en/coffee/n/wn/food,[[珈琲]] is a translation of [[coffee]],2.0
coffee,/c/en/coffee,HasA,caffein,/c/en/caffein,[[coffee]] contains [[caffein]],2.0
Coffee,/c/en/coffee,IsA,a good after dinner drink,/c/en/good_after_dinner_drink,[[Coffee]] is [[a good after dinner drink]],2.0
mokka,/c/no/mokka/n/wn/food,Synonym,coffee,/c/en/coffee/n/wn/food,[[mokka]] is a translation of [[coffee]],2.0
café,/c/fr/café/n,Synonym,coffee,/c/en/coffee,,2.0
cafe au lait,/c/en/cafe_au_lait/n/wn/food,IsA,coffee,/c/en/coffee/n/wn/food,[[cafe au lait]] is a type of [[coffee]],2.0
กาแฟ,/c/th/กาแฟ/n/wn/food,Synonym,coffee,/c/en/coffee/n/wn/food,[[กาแฟ]] is a translation of [[coffee]],2.0
