subject,subject_id,relation,object,object_id,surface_text,weight
croissant,/c/en/croissant/n/wn/food,Synonym,crescent roll,/c/en/crescent_roll/n/wn/food,[[croissant]] is a synonym of [[crescent roll]],2.0
croissant,/c/en/croissant/n,Synonym,kroasan,/c/sh/kroasan,,2.0
kroasan,/c/sh/kroasan/n,RelatedTo,croissant,/c/en/croissant,,2.0
šmerkifel,/c/sh/šmerkifel/n,RelatedTo,croissant,/c/en/croissant,,2.0
クロワッサン,/c/ja/クロワッサン/n,Synonym,croissant,/c/en/croissant,,2.0
牛角面包,/c/zh/牛角面包,Synonym,croissant,/c/en/croissant,,1.5
croissant,/c/en/croissant/n,Synonym,croissant,/c/sv/croissant,,1.0
croissant,/c/en/croissant/n,RelatedTo,croissant,/c/fr/croissant,,1.0
croissant,/c/en/croissant/n,RelatedTo,roll,/c/en/roll,,1.0
羊角包,/c/zh/羊角包,Synonym,croissant,/c/en/croissant,,1.0
크루아상,/c/ko/크루아상/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,cacho,/c/es/cacho,,1.0
croissant,/c/en/croissant/n,Synonym,cornetto,/c/it/cornetto,,1.0
croissant,/c/en/croissant/n,Synonym,នំគ្រ័រសង់,/c/km/នំគ្រ័រសង់,,1.0
croissant,/c/en/croissant,ExternalURL,Q207832,http://wikidata.dbpedia.org/resource/Q207832,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/it/croissant,,1.0
羊角包,/c/zh/羊角包/n,RelatedTo,croissant,/c/en/croissant,,1.0
hörnchen,/c/de/hörnchen/n/wikt/en_1,RelatedTo,croissant,/c/en/croissant,,1.0
croissantlike,/c/en/croissantlike,DerivedFrom,croissant,/c/en/croissant,,1.0
cuerno,/c/es/cuerno/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croassã,/c/pt/croassã,,1.0
croissant,/c/en/croissant/n,Synonym,kroissantti,/c/fi/kroissantti,,1.0
cruasán,/c/es/cruasán/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,bánh croa xăng,/c/vi/bánh_croa_xăng,,1.0
croissant,/c/en/croissant/n,Synonym,կրուասան,/c/hy/կրուասան,,1.0
croissant,/c/en/croissant/n,Synonym,크레센트 롤빵,/c/ko/크레센트_롤빵,,1.0
croissant,/c/en/croissant/n,Synonym,crescent,/c/en/crescent,,1.0
croissant,/c/en/croissant/n,Synonym,κρουασαν,/c/el/κρουασαν,,1.0
croissantlike,/c/en/croissantlike/a,RelatedTo,croissant,/c/en/croissant,,1.0
круассан,/c/ru/круассан/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,круасан,/c/be/круасан,,1.0
rožok,/c/sk/rožok/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,korna bulko,/c/eo/korna_bulko,,1.0
cruffin,/c/en/cruffin/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/ga/croissant,,1.0
ay çöreği,/c/tr/ay_çöreği/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/de/croissant/n,Synonym,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,ครัวซ็อง,/c/th/ครัวซ็อง,,1.0
croissant,/c/en/croissant/n,Synonym,sarvesai,/c/et/sarvesai,,1.0
可頌,/c/zh/可頌,Synonym,croissant,/c/en/croissant,,1.0
crouaîssant,/c/nrf/crouaîssant/n,RelatedTo,croissant,/c/en/croissant,,1.0
ຄົວຊ່ອງ,/c/lo/ຄົວຊ່ອງ/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissandwich,/c/en/croissandwich,DerivedFrom,croissant,/c/en/croissant,,1.0
croissant,/c/fi/croissant/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,lunarka bulko,/c/eo/lunarka_bulko,,1.0
croissant,/c/en/croissant/n,Synonym,क्रोइसैन,/c/hi/क्रोइसैन,,1.0
croissant,/c/en/croissant/n,Synonym,giffel,/c/sv/giffel,,1.0
rogalik,/c/pl/rogalik/n,RelatedTo,croissant,/c/en/croissant,,1.0
牛角麵包,/c/zh/牛角麵包,Synonym,croissant,/c/en/croissant,,1.0
羊角麵包,/c/zh/羊角麵包,Synonym,croissant,/c/en/croissant,,1.0
牛角包,/c/zh/牛角包,Synonym,croissant,/c/en/croissant,,1.0
pain au chocolat,/c/fr/pain_au_chocolat/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant,ExternalURL,Croissant,http://dbpedia.org/resource/Croissant,,1.0
kipfl,/c/de/kipfl/n,RelatedTo,croissant,/c/en/croissant,,1.0
croasán,/c/es/croasán/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/de/croissant/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,牛角麵包,/c/zh/牛角麵包,,1.0
croissant,/c/en/croissant/n,Synonym,kruvasan,/c/tr/kruvasan,,1.0
🥐,/c/mul/🥐,SymbolOf,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/cs/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/pl/croissant,,1.0
牛角包,/c/zh/牛角包/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,RelatedTo,pastry,/c/en/pastry,,1.0
croissant,/c/en/croissant/n,Synonym,新月形麵包,/c/zh/新月形麵包,,1.0
рогалик,/c/ru/рогалик/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/da/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,круасан,/c/uk/круасан,,1.0
croissant,/c/en/croissant/n,Synonym,ຄົວຊ່ອງ,/c/lo/ຄົວຊ່ອງ,,1.0
voisarvi,/c/fi/voisarvi/n,RelatedTo,croissant,/c/en/croissant,,1.0
crusant,/c/ca/crusant/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,medialuna,/c/es/medialuna,,1.0
croissant,/c/en/croissant/n,Synonym,кроасан,/c/mk/кроасан,,1.0
croissant,/c/en/croissant/n,Synonym,crouaîssant,/c/nrf/crouaîssant,,1.0
croissant,/c/ca/croissant/n,RelatedTo,croissant,/c/en/croissant,,1.0
կրուասան,/c/hy/կրուասան/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,brioche,/c/it/brioche,,1.0
可頌,/c/zh/可頌/n,RelatedTo,croissant,/c/en/croissant,,1.0
可颂,/c/zh/可颂,Synonym,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,kipfel,/c/en/kipfel,,1.0
croissant,/c/en/croissant/n,Synonym,crescent,/c/fr/crescent,,1.0
brioche,/c/it/brioche/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/de/croissant,,1.0
羊角麵包,/c/zh/羊角麵包/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissantlike,/c/en/croissantlike,DerivedFrom,croissant,/c/en/croissant/n,,1.0
rożek,/c/pl/rożek/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,کرواسان,/c/fa/کرواسان,,1.0
croissant,/c/en/croissant/n,Synonym,roti sabit,/c/id/roti_sabit,,1.0
croissant,/c/en/croissant/n,Synonym,كرواسان,/c/ar/كرواسان,,1.0
croissant,/c/en/croissant/n,Synonym,cangrejo,/c/es/cangrejo,,1.0
croissant,/c/en/croissant/n,RelatedTo,viennoiserie,/c/fr/viennoiserie,,1.0
croissant,/c/en/croissant/n,Synonym,牛角包,/c/zh/牛角包,,1.0
croissant,/c/en/croissant/n,Synonym,kruassan,/c/az/kruassan,,1.0
クロワッサン,/c/ja/クロワッサン/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/nl/croissant/n,RelatedTo,croissant,/c/en/croissant,,1.0
kruvasan,/c/tr/kruvasan/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,crescent roll,/c/en/crescent_roll,,1.0
croissant,/c/cs/croissant/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,croissant,/c/es/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,크루아상,/c/ko/크루아상,,1.0
牛角麵包,/c/zh/牛角麵包/n,RelatedTo,croissant,/c/en/croissant,,1.0
croissant,/c/en/croissant/n,Synonym,cruasán,/c/es/cruasán,,1.0
croissant,/c/en/croissant/n,Synonym,羊角麵包,/c/zh/羊角麵包,,1.0
