subject,subject_id,relation,object,object_id,surface_text,weight
glasses,/c/en/glasses,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[glasses]],8.0
a bowl,/c/en/bowl,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a bowl]],7.211102550927979
plates,/c/en/plates,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[plates]],6.32455532033676
a mouse,/c/en/mouse,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a mouse]],5.291502622129181
food,/c/en/food,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[food]],4.898979485566356
a plate,/c/en/plate,AtLocation,a cupboard,/c/en/cupboard,You are likely to find [[a plate]] in [[a cupboard]],4.0
a coffee mug,/c/en/coffee_mug,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a coffee mug]],4.0
a salad bowl,/c/en/salad_bowl,AtLocation,the cupboard,/c/en/cupboard,You are likely to find [[a salad bowl]] in [[the cupboard]],3.4641016151377544
tea,/c/en/tea,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[tea]],3.4641016151377544
cans of food,/c/en/cans_of_food,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[cans of food]],3.4641016151377544
a salad spinner,/c/en/salad_spinner,AtLocation,the cupboard,/c/en/cupboard,You are likely to find [[a salad spinner]] in [[the cupboard]],3.4641016151377544
a cupboard,/c/en/cupboard,UsedFor,storing your dishes,/c/en/storing_dishes,[[a cupboard]] is used for [[storing your dishes]],3.4641016151377544
mugs,/c/en/mugs,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[mugs]],3.4641016151377544
cereal,/c/en/cereal,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[cereal]],3.4641016151377544
a gravy boat,/c/en/gravy_boat,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a gravy boat]],2.82842712474619
a container,/c/en/container,AtLocation,the cupboard,/c/en/cupboard,You are likely to find [[a container]] in [[the cupboard]],2.82842712474619
a cereal bowl,/c/en/cereal_bowl,AtLocation,the cupboard,/c/en/cupboard,You are likely to find [[a cereal bowl]] in [[the cupboard]],2.82842712474619
canned goods,/c/en/canned_goods,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[canned goods]],2.82842712474619
a can,/c/en/can,AtLocation,a cupboard,/c/en/cupboard,You are likely to find [[a can]] in [[a cupboard]],2.82842712474619
coffee cups,/c/en/coffee_cups,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[coffee cups]],2.82842712474619
a shelf,/c/en/shelf,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a shelf]],2.82842712474619
jars,/c/en/jars,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[jars]],2.82842712474619
ripostiglio,/c/it/ripostiglio/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[ripostiglio]] is a translation of [[cupboard]],2.0
下駄箱,/c/ja/下駄箱/n,Synonym,cupboard,/c/en/cupboard,,2.0
komórka,/c/pl/komórka/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[komórka]] is a translation of [[cupboard]],2.0
クローゼット,/c/ja/クローゼット/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[クローゼット]] is a translation of [[cupboard]],2.0
armario,/c/gl/armario/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[armario]] is a translation of [[cupboard]],2.0
stor kecil,/c/ms/stor_kecil/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[stor kecil]] is a translation of [[cupboard]],2.0
押込み,/c/ja/押込み/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[押込み]] is a translation of [[cupboard]],2.0
pots,/c/en/pots,AtLocation,a cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[pots]],2.0
airing cupboard,/c/en/airing_cupboard/n/wn/artifact,IsA,cupboard,/c/en/cupboard/n/wn/artifact,[[airing cupboard]] is a type of [[cupboard]],2.0
armairu,/c/eu/armairu/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[armairu]] is a translation of [[cupboard]],2.0
a cupboard,/c/en/cupboard,UsedFor,coffee mugs,/c/en/coffee_mugs,[[a cupboard]] is for [[coffee mugs]],2.0
げた箱,/c/ja/げた箱/n,Synonym,cupboard,/c/en/cupboard,,2.0
supply closet,/c/en/supply_closet/n/wn/artifact,IsA,cupboard,/c/en/cupboard/n/wn/artifact,[[supply closet]] is a type of [[cupboard]],2.0
ตู้,/c/th/ตู้/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[ตู้]] is a translation of [[cupboard]],2.0
食器棚,/c/ja/食器棚/n,Synonym,cupboard,/c/en/cupboard,,2.0
estante,/c/pt/estante/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[estante]] is a translation of [[cupboard]],2.0
収納家具,/c/ja/収納家具/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[収納家具]] is a translation of [[cupboard]],2.0
flour,/c/en/flour,AtLocation,the cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[flour]],2.0
stipo,/c/it/stipo/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[stipo]] is a translation of [[cupboard]],2.0
戸棚,/c/ja/戸棚/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[戸棚]] is a translation of [[cupboard]],2.0
almari,/c/ms/almari/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[almari]] is a translation of [[cupboard]],2.0
収納室,/c/ja/収納室/n/wn/artifact,Synonym,cupboard,/c/en/cupboard/n/wn/artifact,[[収納室]] is a translation of [[cupboard]],2.0
