subject,subject_id,relation,object,object_id,surface_text,weight
a dining table,/c/en/dining_table,UsedFor,eat dinner,/c/en/eat_dinner,You can use [[a dining table]] to [[eat dinner]],3.4641016151377544
a dining table,/c/en/dining_table,UsedFor,playing games on,/c/en/playing_games_on,[[a dining table]] is for [[playing games on]],2.82842712474619
stół do jadalni,/c/pl/stół_do_jadalni/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[stół do jadalni]] is a translation of [[dining table]],2.0
ちゃぶ台,/c/ja/ちゃぶ台/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[ちゃぶ台]] is a translation of [[dining table]],2.0
食卓,/c/ja/食卓/a,Synonym,dining table,/c/en/dining_table,,2.0
trpeza,/c/sh/trpeza/n,RelatedTo,dining table,/c/en/dining_table,,2.0
dinner table,/c/en/dinner_table/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[dinner table]] is a type of [[dining table]],2.0
high table,/c/en/high_table/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[high table]] is a type of [[dining table]],2.0
meja makan,/c/id/meja_makan/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[meja makan]] is a translation of [[dining table]],2.0
ダイニング テーブル,/c/ja/ダイニング_テーブル/n,Synonym,dining table,/c/en/dining_table,,2.0
taula de menjador,/c/ca/taula_de_menjador/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[taula de menjador]] is a translation of [[dining table]],2.0
mesa,/c/pt/mesa/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[mesa]] is a translation of [[dining table]],2.0
triclinium,/c/en/triclinium/n/wn/artifact,IsA,dining table,/c/en/dining_table/n/wn/artifact,[[triclinium]] is a type of [[dining table]],2.0
a dining table,/c/en/dining_table,UsedFor,eat dinnner,/c/en/eat_dinnner,You can use [[a dining table]] to [[eat dinnner]],2.0
โต๊ะรับประทานอาหาร,/c/th/โต๊ะรับประทานอาหาร/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[โต๊ะรับประทานอาหาร]] is a translation of [[dining table]],2.0
ruokapöytä,/c/fi/ruokapöytä/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[ruokapöytä]] is a translation of [[dining table]],2.0
dining table,/c/en/dining_table/n/wn/artifact,IsA,table,/c/en/table/n/wn/artifact,[[dining table]] is a type of [[table]],2.0
stół jadalniany,/c/pl/stół_jadalniany/n/wn/artifact,Synonym,dining table,/c/en/dining_table/n/wn/artifact,[[stół jadalniany]] is a translation of [[dining table]],2.0
