subject,subject_id,relation,object,object_id,surface_text,weight
a fork,/c/en/fork,AtLocation,the kitchen,/c/en/kitchen,*Something you find in [[the kitchen]] is [[a fork]],5.291502622129181
a fork,/c/en/fork,AtLocation,a table,/c/en/table,*Something you find on [[a table]] is [[a fork]],4.898979485566356
a fork,/c/en/fork,UsedFor,eating food,/c/en/eating_food,[[a fork]] is used for [[eating food]],4.47213595499958
a fork,/c/en/fork,AtLocation,drawer,/c/en/drawer,You are likely to find [[a fork]] in [[drawer]].,4.0
a fork,/c/en/fork,AtLocation,a plate,/c/en/plate,*Something you find on [[a plate]] is [[a fork]],2.82842712474619
a fork,/c/en/fork,AtLocation,the road,/c/en/road,You are likely to find [[a fork]] in [[the road]],2.82842712474619
plate,/c/en/plate,RelatedTo,fork,/c/en/fork,[[plate]] is related to [[fork]],2.376552124402071
garpu,/c/ms/garpu/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[garpu]] is a translation of [[fork]],2.0
A fork,/c/en/fork,IsA,eating utensil,/c/en/eating_utensil,[[A fork]] is a type of [[eating utensil]],2.0
叉,/c/ja/叉,Synonym,fork,/c/en/fork,,2.0
penggembur,/c/ms/penggembur/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[penggembur]] is a translation of [[fork]],2.0
衢,/c/ja/衢,Synonym,fork,/c/en/fork,,2.0
a fork,/c/en/fork,UsedFor,eat food,/c/en/eat_food,You can use [[a fork]] to [[eat food]],2.0
ส้อม,/c/th/ส้อม/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[ส้อม]] is a translation of [[fork]],2.0
bifurcation,/c/fr/bifurcation/v/wn/change,Synonym,fork,/c/en/fork/v/wn/change,[[bifurcation]] is a translation of [[fork]],2.0
fork,/c/en/fork/v/wn/chess,MannerOf,attack,/c/en/attack/v/wn/competition,[[fork]] is a way to [[attack]],2.0
sepit udang,/c/ms/sepit_udang/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[sepit udang]] is a translation of [[fork]],2.0
cabang,/c/ms/cabang/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[cabang]] is a translation of [[fork]],2.0
岐,/c/ja/岐,Synonym,fork,/c/en/fork,,2.0
prong,/c/en/prong/n/wn/artifact,PartOf,fork,/c/en/fork/n/wn/artifact,[[prong]] is a part of [[fork]],2.0
haarautua,/c/fi/haarautua/v/wn/chess,Synonym,fork,/c/en/fork/v/wn/chess,[[haarautua]] is a translation of [[fork]],2.0
別れ,/c/ja/別れ/n,Synonym,fork,/c/en/fork,,2.0
vilica,/c/sh/vilica/n,RelatedTo,fork,/c/en/fork,,2.0
tine,/c/en/tine/n/wn/artifact,PartOf,fork,/c/en/fork/n/wn/artifact,[[tine]] is a part of [[fork]],2.0
toasting fork,/c/en/toasting_fork/n/wn/artifact,IsA,fork,/c/en/fork/n/wn/artifact,[[toasting fork]] is a type of [[fork]],2.0
cagak,/c/id/cagak/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[cagak]] is a translation of [[fork]],2.0
corbar,/c/ca/corbar/v/wn/change,Synonym,fork,/c/en/fork/v/wn/change,[[corbar]] is a translation of [[fork]],2.0
a fork,/c/en/fork,UsedFor,eat a meal,/c/en/eat_meal,You can use [[a fork]] to [[eat a meal]],2.0
salad fork,/c/en/salad_fork/n/wn/artifact,IsA,fork,/c/en/fork/n/wn/artifact,[[salad fork]] is a type of [[fork]],2.0
a fork,/c/en/fork,UsedFor,picking up food,/c/en/picking_up_food,[[a fork]] is used for [[picking up food]],2.0
ホーク,/c/ja/ホーク/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[ホーク]] is a translation of [[fork]],2.0
フォーク,/c/ja/フォーク/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[フォーク]] is a translation of [[fork]],2.0
dijeliti,/c/sh/dijeliti/v,RelatedTo,fork,/c/en/fork,,2.0
podijeliti,/c/sh/podijeliti/v,RelatedTo,fork,/c/en/fork,,2.0
fork,/c/en/fork/n,Synonym,vile,/c/sh/vile,,2.0
widelec,/c/pl/widelec/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[widelec]] is a translation of [[fork]],2.0
A fork,/c/en/fork,CapableOf,move the food to your mouth,/c/en/move_food_to_mouth,[[A fork]] can [[move the food to your mouth]],2.0
分れる,/c/ja/分れる/v/jmdict/1,Synonym,fork,/c/en/fork,,2.0
ทำเป็นส้อม,/c/th/ทําเป็นส้อม/v/wn/change,Synonym,fork,/c/en/fork/v/wn/change,[[ทำเป็นส้อม]] is a translation of [[fork]],2.0
巷,/c/ja/巷,Synonym,fork,/c/en/fork,,2.0
別れ目,/c/ja/別れ目/n/jmdict/1,Synonym,fork,/c/en/fork,,2.0
分れ目,/c/ja/分れ目/n/jmdict/1,Synonym,fork,/c/en/fork,,2.0
俣,/c/ja/俣,Synonym,fork,/c/en/fork,,2.0
股,/c/ja/股,Synonym,fork,/c/en/fork,,2.0
razdeliti,/c/sh/razdeliti/v,RelatedTo,fork,/c/en/fork,,2.0
cabang,/c/id/cabang/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[cabang]] is a translation of [[fork]],2.0
胯,/c/ja/胯,Synonym,fork,/c/en/fork,,2.0
