subject,subject_id,relation,object,object_id,surface_text,weight
paistettu kananmuna,/c/fi/paistettu_kananmuna/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[paistettu kananmuna]] is a translation of [[fried egg]],2.0
ไข่ดาว,/c/th/ไข่ดาว/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[ไข่ดาว]] is a translation of [[fried egg]],2.0
telur mata sapi,/c/id/telur_mata_sapi/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[telur mata sapi]] is a translation of [[fried egg]],2.0
œuf au plat,/c/fr/œuf_au_plat/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[œuf au plat]] is a translation of [[fried egg]],2.0
ou ferrat,/c/ca/ou_ferrat/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[ou ferrat]] is a translation of [[fried egg]],2.0
jajko sadzone,/c/pl/jajko_sadzone/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[jajko sadzone]] is a translation of [[fried egg]],2.0
fried egg,/c/en/fried_egg/n,Synonym,œuf sur le plat,/c/fr/œuf_sur_le_plat,,2.0
oef au miroir,/c/fr/oef_au_miroir/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[oef au miroir]] is a translation of [[fried egg]],2.0
telur mata lembu,/c/ms/telur_mata_lembu/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[telur mata lembu]] is a translation of [[fried egg]],2.0
œuf sur le plat,/c/fr/œuf_sur_le_plat/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[œuf sur le plat]] is a translation of [[fried egg]],2.0
目玉焼き,/c/ja/目玉焼き/n/wn/food,Synonym,fried egg,/c/en/fried_egg/n/wn/food,[[目玉焼き]] is a translation of [[fried egg]],2.0
fried egg,/c/en/fried_egg/n/wn/food,IsA,dish,/c/en/dish/n/wn/food,[[fried egg]] is a type of [[dish]],2.0
fried egg,/c/en/fried_egg/n,Synonym,荷包蛋,/c/zh/荷包蛋,,1.0
ձվածեղ,/c/hy/ձվածեղ/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
fried egg,/c/en/fried_egg/n,Synonym,huevo frito,/c/es/huevo_frito,,1.0
spiegelei,/c/de/spiegelei/n,Synonym,fried egg,/c/en/fried_egg,,1.0
fried egg,/c/en/fried_egg/n,Synonym,spejlæg,/c/da/spejlæg,,1.0
oeu fricachi,/c/nrf/oeu_fricachi/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
ochsenauge,/c/de/ochsenauge/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
fried egg,/c/en/fried_egg/n,Synonym,stokt egg,/c/fo/stokt_egg,,1.0
煎蛋,/c/zh/煎蛋,Synonym,fried egg,/c/en/fried_egg,,1.0
ไข่ดาว,/c/th/ไข่ดาว/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
fried egg,/c/en/fried_egg/n,Synonym,spiegelei,/c/de/spiegelei,,1.0
fried egg,/c/en/fried_egg/n/wn/food,ExternalURL,107859612-n,http://wordnet-rdf.princeton.edu/wn31/107859612-n,,1.0
αβγό μάτι,/c/el/αβγό_μάτι/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
fried egg,/c/en/fried_egg/n,Synonym,spiegelei,/c/nl/spiegelei,,1.0
spejle,/c/da/spejle/v/wikt/en_1,RelatedTo,fried egg,/c/en/fried_egg,,1.0
fried egg,/c/en/fried_egg/n,Synonym,speilegg,/c/no/speilegg,,1.0
fried eggs,/c/en/fried_eggs/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
tükörtojás,/c/hu/tükörtojás/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
egg sandwich,/c/en/egg_sandwich/n,RelatedTo,fried egg,/c/en/fried_egg,,1.0
