subject,subject_id,relation,object,object_id,surface_text,weight
添える,/c/ja/添える/v/jmdict/1,Synonym,garnish,/c/en/garnish,,2.0
garnish,/c/en/garnish/v/wn/possession,Synonym,garnishee,/c/en/garnishee/v/wn/possession,[[garnish]] is a synonym of [[garnishee]],2.0
guarnizione,/c/it/guarnizione/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[guarnizione]] is a translation of [[garnish]],2.0
ガーニッシュ,/c/ja/ガーニッシュ/n,Synonym,garnish,/c/en/garnish,,2.0
付け合せ,/c/ja/付け合せ/n,Synonym,garnish,/c/en/garnish,,2.0
hiasi,/c/id/hiasi/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[hiasi]] is a translation of [[garnish]],2.0
garnish,/c/en/garnish/n/wn/food,IsA,decoration,/c/en/decoration/n/wn/artifact,[[garnish]] is a type of [[decoration]],2.0
guarnició,/c/ca/guarnició/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[guarnició]] is a translation of [[garnish]],2.0
perhiasan,/c/ms/perhiasan/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[perhiasan]] is a translation of [[garnish]],2.0
hiasan,/c/id/hiasan/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[hiasan]] is a translation of [[garnish]],2.0
garnish,/c/en/garnish/v/wn/creation,Synonym,trim,/c/en/trim/v/wn/creation,[[garnish]] is a synonym of [[trim]],2.0
garnish,/c/en/garnish/n/wn/artifact,IsA,decoration,/c/en/decoration/n/wn/artifact,[[garnish]] is a type of [[decoration]],2.0
aderezo,/c/es/aderezo/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[aderezo]] is a translation of [[garnish]],2.0
perhiasan,/c/ms/perhiasan/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[perhiasan]] is a translation of [[garnish]],2.0
adorno,/c/es/adorno/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[adorno]] is a translation of [[garnish]],2.0
hiasan,/c/id/hiasan/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[hiasan]] is a translation of [[garnish]],2.0
hiasi,/c/ms/hiasi/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[hiasi]] is a translation of [[garnish]],2.0
garnirunek,/c/pl/garnirunek/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[garnirunek]] is a translation of [[garnish]],2.0
差押える,/c/ja/差押える/v,Synonym,garnish,/c/en/garnish,,2.0
夫,/c/ja/夫,Synonym,garnish,/c/en/garnish,,2.0
差し押える,/c/ja/差し押える/v,Synonym,garnish,/c/en/garnish,,2.0
付合わせ,/c/ja/付合わせ/n,Synonym,garnish,/c/en/garnish,,2.0
koriste,/c/fi/koriste/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[koriste]] is a translation of [[garnish]],2.0
hiasan,/c/ms/hiasan/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[hiasan]] is a translation of [[garnish]],2.0
副える,/c/ja/副える/v/jmdict/1,Synonym,garnish,/c/en/garnish,,2.0
perhiasan,/c/id/perhiasan/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[perhiasan]] is a translation of [[garnish]],2.0
koriste,/c/fi/koriste/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[koriste]] is a translation of [[garnish]],2.0
penghias hidangan,/c/id/penghias_hidangan/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[penghias hidangan]] is a translation of [[garnish]],2.0
具,/c/ja/具,Synonym,garnish,/c/en/garnish,,2.0
hiasan,/c/ms/hiasan/n/wn/artifact,Synonym,garnish,/c/en/garnish/n/wn/artifact,[[hiasan]] is a translation of [[garnish]],2.0
topping,/c/en/topping/n/wn/food,IsA,garnish,/c/en/garnish/n/wn/food,[[topping]] is a type of [[garnish]],2.0
付合せ,/c/ja/付合せ/n,Synonym,garnish,/c/en/garnish,,2.0
差押さえる,/c/ja/差押さえる/v,Synonym,garnish,/c/en/garnish,,2.0
差し押さえる,/c/ja/差し押さえる/v,Synonym,garnish,/c/en/garnish,,2.0
garnirowanie,/c/pl/garnirowanie/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[garnirowanie]] is a translation of [[garnish]],2.0
guarnizione,/c/it/guarnizione/n/wn/food,Synonym,garnish,/c/en/garnish/n/wn/food,[[guarnizione]] is a translation of [[garnish]],2.0
