subject,subject_id,relation,object,object_id,surface_text,weight
window,/c/en/window,RelatedTo,glass,/c/en/glass,[[window]] is related to [[glass]],8.952764936040708
glass,/c/en/glass,RelatedTo,window,/c/en/window,[[glass]] is related to [[window]],7.485185368446128
a glass,/c/en/glass,UsedFor,drinking,/c/en/drinking,[[a glass]] is used for [[drinking]],7.211102550927979
glass,/c/en/glass,RelatedTo,clear,/c/en/clear,[[glass]] is related to [[clear]],6.563840339313565
glass,/c/en/glass,RelatedTo,material,/c/en/material,[[glass]] is related to [[material]],6.041522986797286
A glass,/c/en/glass,ReceivesAction,broken,/c/en/broken,[[A glass]] can be [[broken]],5.291502622129181
glass,/c/en/glass,RelatedTo,drinking,/c/en/drinking,[[glass]] is related to [[drinking]],5.047771785649585
A glass,/c/en/glass,CapableOf,hold liquid,/c/en/hold_liquid,[[A glass]] can [[hold liquid]],4.898979485566356
glass,/c/en/glass,RelatedTo,transparent,/c/en/transparent,[[glass]] is related to [[transparent]],4.846441993875507
glass,/c/en/glass,RelatedTo,windows,/c/en/windows,[[glass]] is related to [[windows]],4.814976635457331
drink,/c/en/drink,RelatedTo,glass,/c/en/glass,[[drink]] is related to [[glass]],4.302092514114498
glass,/c/en/glass,RelatedTo,sand,/c/en/sand,[[glass]] is related to [[sand]],4.262393693689028
glass,/c/en/glass,RelatedTo,cup,/c/en/cup,[[glass]] is related to [[cup]],4.134247210799083
glass,/c/en/glass,HasProperty,clear,/c/en/clear,[[glass]] is [[clear]],4.0
a glass,/c/en/glass,UsedFor,holding liquid,/c/en/holding_liquid,[[a glass]] is for [[holding liquid]],4.0
water,/c/en/water,AtLocation,a glass,/c/en/glass,You are likely to find [[water]] in [[a glass]],4.0
a glass,/c/en/glass,UsedFor,seeing through,/c/en/seeing_through,[[a glass]] is for [[seeing through]],4.0
Glass,/c/en/glass,HasProperty,recyclable,/c/en/recyclable,[[Glass]] is [[recyclable]],4.0
Glass,/c/en/glass,ReceivesAction,recycled,/c/en/recycled,[[Glass]] can be [[recycled]],4.0
a glass,/c/en/glass,AtLocation,the cabinet,/c/en/cabinet,You are likely to find [[a glass]] in [[the cabinet]],4.0
glass,/c/en/glass,CapableOf,break easily,/c/en/break_easily,[[glass]] can [[break easily]],4.0
glass,/c/en/glass,RelatedTo,container,/c/en/container,[[glass]] is related to [[container]],3.7825917041097634
glass,/c/en/glass,RelatedTo,drink,/c/en/drink,[[glass]] is related to [[drink]],3.569873947354445
a glass,/c/en/glass,AtLocation,a window,/c/en/window,You are likely to find [[a glass]] in [[a window]],3.4641016151377544
Glass,/c/en/glass,ReceivesAction,made from sand,/c/en/made_from_sand,[[Glass]] is [[made from sand]],3.4641016151377544
The glass,/c/en/glass,PartOf,a window,/c/en/window,[[The glass]] is part of [[a window]],3.4641016151377544
glass,/c/en/glass,HasProperty,very fragile,/c/en/very_fragile,[[glass]] is [[very fragile]],3.4641016151377544
glass,/c/en/glass,RelatedTo,pane,/c/en/pane,[[glass]] is related to [[pane]],3.179308100829487
glass,/c/en/glass,RelatedTo,window material,/c/en/window_material,[[glass]] is related to [[window material]],2.85447017850949
glass,/c/en/glass,RelatedTo,see,/c/en/see,[[glass]] is related to [[see]],2.839718295887815
a glass,/c/en/glass,AtLocation,a kitchen,/c/en/kitchen,You are likely to find [[a glass]] in [[a kitchen]],2.82842712474619
Some lenses,/c/en/lenses,MadeOf,glass,/c/en/glass,[[Some lenses]] are made of [[glass]],2.82842712474619
A lens,/c/en/lens,MadeOf,glass,/c/en/glass,[[A lens]] is made of [[glass]].,2.82842712474619
a glass,/c/en/glass,CapableOf,hold water,/c/en/hold_water,[[a glass]] can [[hold water]],2.82842712474619
Glass,/c/en/glass,IsA,a solid,/c/en/solid,[[Glass]] is [[a solid]],2.82842712474619
glass,/c/en/glass,RelatedTo,see through,/c/en/see_through,[[glass]] is related to [[see through]],2.605379051117131
glass,/c/en/glass,RelatedTo,through,/c/en/through,[[glass]] is related to [[through]],2.605379051117131
glass,/c/en/glass,RelatedTo,water,/c/en/water,[[glass]] is related to [[water]],2.51555162936482
glass,/c/en/glass,RelatedTo,breakable,/c/en/breakable,[[glass]] is related to [[breakable]],2.463331078032346
clear,/c/en/clear,RelatedTo,glass,/c/en/glass,[[clear]] is related to [[glass]],2.159629597870894
natural glass,/c/en/natural_glass/n/wn/substance,IsA,glass,/c/en/glass/n/wn/substance,[[natural glass]] is a type of [[glass]],2.0
kiikaroida,/c/fi/kiikaroida/v/wn/perception,Synonym,glass,/c/en/glass/v/wn/perception,[[kiikaroida]] is a translation of [[glass]],2.0
optical glass,/c/en/optical_glass/n/wn/substance,IsA,glass,/c/en/glass/n/wn/substance,[[optical glass]] is a type of [[glass]],2.0
verre,/c/fr/verre/v/wn/contact,Synonym,glass,/c/en/glass/v/wn/contact,[[verre]] is a translation of [[glass]],2.0
peittää lasilla,/c/fi/peittää_lasilla/v/wn/contact,Synonym,glass,/c/en/glass/v/wn/contact,[[peittää lasilla]] is a translation of [[glass]],2.0
杯子,/c/zh/杯子/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[杯子]] is a translation of [[glass]],2.0
盃,/c/zh/盃/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[盃]] is a translation of [[glass]],2.0
vas,/c/ca/vas/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[vas]] is a translation of [[glass]],2.0
