subject,subject_id,relation,object,object_id,surface_text,weight
knife,/c/en/knife,CapableOf,spread butter,/c/en/spread_butter,[[knife]] can [[spread butter]],9.38083151964686
a knife,/c/en/knife,AtLocation,the kitchen,/c/en/kitchen,*Something you find in [[the kitchen]] is [[a knife]],6.928203230275509
cut,/c/en/cut,RelatedTo,knife,/c/en/knife,[[cut]] is related to [[knife]],6.679520940905867
A knife,/c/en/knife,CapableOf,spread peanut butter,/c/en/spread_peanut_butter,[[A knife]] can [[spread peanut butter]],6.0
knife,/c/en/knife,UsedFor,stabbing,/c/en/stabbing,[[knife]] is for [[stabbing]],5.656854249492381
a knife,/c/en/knife,AtLocation,a drawer,/c/en/drawer,*Something you find in [[a drawer]] is [[a knife]],4.47213595499958
blade,/c/en/blade,RelatedTo,knife,/c/en/knife,[[blade]] is related to [[knife]],4.098292327299263
a knife,/c/en/knife,UsedFor,butter,/c/en/butter,[[a knife]] is used for [[butter]],4.0
The blade,/c/en/blade,PartOf,a knife,/c/en/knife,[[The blade]] is part of [[a knife]],4.0
a knife,/c/en/knife,UsedFor,cutting food,/c/en/cutting_food,[[a knife]] is for [[cutting food]],3.4641016151377544
knife,/c/en/knife,AtLocation,a pocket,/c/en/pocket,*Something you find in [[a pocket]] is [[knife]],3.4641016151377544
A knife,/c/en/knife,IsA,tool,/c/en/tool,[[A knife]] is a type of [[tool]],3.4641016151377544
a knife,/c/en/knife,CapableOf,butter bread,/c/en/butter_bread,[[a knife]] can [[butter bread]],3.4641016151377544
سِكِّين,/c/ar/سكين/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[سِكِّين]] is a translation of [[knife]],3.4641016151377544
a knife,/c/en/knife,AtLocation,the kitchen drawer,/c/en/kitchen_drawer,You are likely to find [[a knife]] in [[the kitchen drawer]],3.4641016151377544
a knife,/c/en/knife,CapableOf,hurt a dog,/c/en/hurt_dog,[[a knife]] can [[hurt a dog]],3.4641016151377544
A knife,/c/en/knife,CapableOf,cut,/c/en/cut,[[A knife]] can [[cut]],3.4641016151377544
a knife,/c/en/knife,CapableOf,cut that apple,/c/en/cut_apple,[[a knife]] can [[cut that apple]],3.4641016151377544
edge,/c/en/edge,RelatedTo,knife,/c/en/knife,[[edge]] is related to [[knife]],3.2606747767908413
a knife,/c/en/knife,CapableOf,hurt,/c/en/hurt,[[a knife]] can [[hurt]],2.82842712474619
a knife,/c/en/knife,UsedFor,slicing,/c/en/slicing,[[a knife]] is used for [[slicing]],2.82842712474619
a knife,/c/en/knife,UsedFor,carving wood,/c/en/carving_wood,[[a knife]] is used for [[carving wood]],2.82842712474619
machete,/c/en/machete/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[machete]] is a type of [[knife]],2.0
khukuri,/c/en/khukuri/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[khukuri]] is a type of [[knife]],2.0
bread knife,/c/en/bread_knife/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[bread knife]] is a type of [[knife]],2.0
سِكِّيْنَة,/c/ar/سكينة/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[سِكِّيْنَة]] is a translation of [[knife]],2.0
a knife,/c/en/knife,UsedFor,killing,/c/en/killing,[[a knife]] is used for [[killing]],2.0
出刃包丁,/c/ja/出刃包丁/n,Synonym,knife,/c/en/knife,,2.0
yataghan,/c/en/yataghan/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[yataghan]] is a type of [[knife]],2.0
merujah,/c/id/merujah/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[merujah]] is a translation of [[knife]],2.0
ナイフ,/c/ja/ナイフ/n,Synonym,knife,/c/en/knife,,2.0
طَعَنَ,/c/ar/طعن/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[طَعَنَ]] is a translation of [[knife]],2.0
knife,/c/en/knife/n/wn/artifact,UsedFor,cut,/c/en/cut/v/wn/contact,[[knife]] is used for [[cut]],2.0
coltello,/c/it/coltello/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[coltello]] is a translation of [[knife]],2.0
a knife,/c/en/knife,UsedFor,pare an apple,/c/en/pare_apple,You can use [[a knife]] to [[pare an apple]],2.0
kniv,/c/no/kniv/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[kniv]] is a translation of [[knife]],2.0
どす,/c/ja/どす/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[どす]] is a translation of [[knife]],2.0
pugnalare,/c/it/pugnalare/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[pugnalare]] is a translation of [[knife]],2.0
อาวุธมีคม,/c/th/อาวุธมีคม/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[อาวุธมีคม]] is a translation of [[knife]],2.0
knife,/c/en/knife/n,Synonym,nož,/c/sh/nož,,2.0
camuk,/c/id/camuk/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[camuk]] is a translation of [[knife]],2.0
suduk,/c/ms/suduk/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[suduk]] is a translation of [[knife]],2.0
cuchillo,/c/es/cuchillo/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[cuchillo]] is a translation of [[knife]],2.0
acoltellar,/c/ca/acoltellar/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[acoltellar]] is a translation of [[knife]],2.0
چاقو,/c/fa/چاقو/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[چاقو]] is a translation of [[knife]],2.0
bičak,/c/sh/bičak/n,RelatedTo,knife,/c/en/knife,,2.0
tersengsam,/c/ms/tersengsam/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[tersengsam]] is a translation of [[knife]],2.0
mencamuk,/c/id/mencamuk/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[mencamuk]] is a translation of [[knife]],2.0
nóż,/c/pl/nóż/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[nóż]] is a translation of [[knife]],2.0
menusuk,/c/ms/menusuk/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[menusuk]] is a translation of [[knife]],2.0
ศาสตราวุธ,/c/th/ศาสตราวุธ/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[ศาสตราวุธ]] is a translation of [[knife]],2.0
coltell,/c/ca/coltell/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[coltell]] is a translation of [[knife]],2.0
合い口,/c/ja/合い口/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[合い口]] is a translation of [[knife]],2.0
pruning knife,/c/en/pruning_knife/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[pruning knife]] is a type of [[knife]],2.0
突刺す,/c/ja/突刺す/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[突刺す]] is a translation of [[knife]],2.0
memotong,/c/ms/memotong/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[memotong]] is a translation of [[knife]],2.0
pocketknife,/c/en/pocketknife/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[pocketknife]] is a type of [[knife]],2.0
nožić,/c/sh/nožić/n,RelatedTo,knife,/c/en/knife,,2.0
couteau,/c/fr/couteau/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[couteau]] is a translation of [[knife]],2.0
刀,/c/ja/刀,Synonym,knife,/c/en/knife,,2.0
trafiggere,/c/it/trafiggere/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[trafiggere]] is a translation of [[knife]],2.0
刺突+する,/c/ja/刺突_する/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[刺突+する]] is a translation of [[knife]],2.0
knife,/c/en/knife/n/wn/artifact,RelatedTo,cutter,/c/en/cutter/n/wn/person,[[knife]] is related to [[cutter]],2.0
มีด,/c/th/มีด/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[มีด]] is a translation of [[knife]],2.0
dicucuk,/c/id/dicucuk/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[dicucuk]] is a translation of [[knife]],2.0
小刀,/c/ja/小刀/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[小刀]] is a translation of [[knife]],2.0
stick frog,/c/en/stick_frog/n,RelatedTo,knife,/c/en/knife,,2.0
membacok,/c/id/membacok/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[membacok]] is a translation of [[knife]],2.0
包丁,/c/ja/包丁/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[包丁]] is a translation of [[knife]],2.0
barong,/c/en/barong/n/wn/artifact,IsA,knife,/c/en/knife/n/wn/artifact,[[barong]] is a type of [[knife]],2.0
出刃,/c/ja/出刃/n/wn/artifact,Synonym,knife,/c/en/knife/n/wn/artifact,[[出刃]] is a translation of [[knife]],2.0
突く,/c/ja/突く/v/wn/contact,Synonym,knife,/c/en/knife/v/wn/contact,[[突く]] is a translation of [[knife]],2.0
