subject,subject_id,relation,object,object_id,surface_text,weight
Limoeiro,/c/pt/limoeiro/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[Limoeiro]] is a translation of [[lemon]],3.4641016151377544
lemon,/c/en/lemon,RelatedTo,fruit,/c/en/fruit,[[lemon]] is related to [[fruit]],2.933257574779276
lime,/c/en/lime,RelatedTo,lemon,/c/en/lemon,[[lime]] is related to [[lemon]],2.916161861076988
lemon,/c/en/lemon,RelatedTo,yellow,/c/en/yellow,[[lemon]] is related to [[yellow]],2.1918029108475974
レモン色,/c/ja/レモン色/a,Synonym,lemon,/c/en/lemon,,2.0
limón,/c/es/limón/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limón]] is a translation of [[lemon]],2.0
citron,/c/fr/citron/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[citron]] is a translation of [[lemon]],2.0
limeira,/c/pt/limeira/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limeira]] is a translation of [[lemon]],2.0
limunov,/c/sh/limunov/a,RelatedTo,lemon,/c/en/lemon,,2.0
ต้นมะนาว,/c/th/ต้นมะนาว/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[ต้นมะนาว]] is a translation of [[lemon]],2.0
Citrus limon,/c/fi/citrus_limon/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[Citrus limon]] is a translation of [[lemon]],2.0
limau,/c/id/limau/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limau]] is a translation of [[lemon]],2.0
lemon,/c/ms/lemon/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[lemon]] is a translation of [[lemon]],2.0
ต้นเลมอน,/c/th/ต้นเลมอน/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[ต้นเลมอน]] is a translation of [[lemon]],2.0
เลมอน,/c/th/เลมอน/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[เลมอน]] is a translation of [[lemon]],2.0
jeruk nipis,/c/ms/jeruk_nipis/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[jeruk nipis]] is a translation of [[lemon]],2.0
susikappale,/c/fi/susikappale/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[susikappale]] is a translation of [[lemon]],2.0
limoiondo,/c/eu/limoiondo/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limoiondo]] is a translation of [[lemon]],2.0
citron,/c/fr/citron/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[citron]] is a translation of [[lemon]],2.0
sitruunapuu,/c/fi/sitruunapuu/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[sitruunapuu]] is a translation of [[lemon]],2.0
limón,/c/es/limón/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[limón]] is a translation of [[lemon]],2.0
lemon,/c/id/lemon/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[lemon]] is a translation of [[lemon]],2.0
ของไม่ดี,/c/th/ของไม่ดี/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[ของไม่ดี]] is a translation of [[lemon]],2.0
limau,/c/ms/limau/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limau]] is a translation of [[lemon]],2.0
cytrynowiec,/c/pl/cytrynowiec/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[cytrynowiec]] is a translation of [[lemon]],2.0
limau kuning,/c/ms/limau_kuning/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limau kuning]] is a translation of [[lemon]],2.0
citronnier,/c/fr/citronnier/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[citronnier]] is a translation of [[lemon]],2.0
limau,/c/id/limau/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limau]] is a translation of [[lemon]],2.0
citron,/c/da/citron/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[citron]] is a translation of [[lemon]],2.0
lemon tree,/c/en/lemon_tree/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[lemon tree]] is a synonym of [[lemon]],2.0
lemon,/c/en/lemon/n/wn/artifact,IsA,artifact,/c/en/artifact/n/wn,[[lemon]] is a type of [[artifact]],2.0
lemon peel,/c/en/lemon_peel/n/wn/food,PartOf,lemon,/c/en/lemon/n/wn/food,[[lemon peel]] is a part of [[lemon]],2.0
lemon,/c/en/lemon/n/wn/plant,IsA,citrus,/c/en/citrus/n/wn/plant,[[lemon]] is a type of [[citrus]],2.0
lemon,/c/en/lemon/n/wn/food,PartOf,lemon,/c/en/lemon/n/wn/plant,[[lemon]] is a part of [[lemon]],2.0
citrus limon,/c/fr/citrus_limon/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[citrus limon]] is a translation of [[lemon]],2.0
รสเลมอน,/c/th/รสเลมอน/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[รสเลมอน]] is a translation of [[lemon]],2.0
sitron,/c/no/sitron/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[sitron]] is a translation of [[lemon]],2.0
lemon,/c/ms/lemon/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[lemon]] is a translation of [[lemon]],2.0
ลูกเลมอน,/c/th/ลูกเลมอน/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[ลูกเลมอน]] is a translation of [[lemon]],2.0
sitruuna,/c/fi/sitruuna/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[sitruuna]] is a translation of [[lemon]],2.0
jeruk nipis,/c/id/jeruk_nipis/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[jeruk nipis]] is a translation of [[lemon]],2.0
citronnier,/c/fr/citronnier/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[citronnier]] is a translation of [[lemon]],2.0
limun,/c/sh/limun/n,RelatedTo,lemon,/c/en/lemon,,2.0
limone,/c/it/limone/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limone]] is a translation of [[lemon]],2.0
limones,/c/es/limones/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[limones]] is a translation of [[lemon]],2.0
cytryna,/c/pl/cytryna/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[cytryna]] is a translation of [[lemon]],2.0
citronnier,/c/fr/citronnier/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[citronnier]] is a translation of [[lemon]],2.0
limau kuning,/c/ms/limau_kuning/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limau kuning]] is a translation of [[lemon]],2.0
limão,/c/pt/limão/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limão]] is a translation of [[lemon]],2.0
kirpeys,/c/fi/kirpeys/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[kirpeys]] is a translation of [[lemon]],2.0
limoi,/c/eu/limoi/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limoi]] is a translation of [[lemon]],2.0
レモン,/c/ja/レモン/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[レモン]] is a translation of [[lemon]],2.0
citron,/c/fr/citron/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[citron]] is a translation of [[lemon]],2.0
รสมะนาว,/c/th/รสมะนาว/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[รสมะนาว]] is a translation of [[lemon]],2.0
huono juttu,/c/fi/huono_juttu/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[huono juttu]] is a translation of [[lemon]],2.0
stinker,/c/en/stinker/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[stinker]] is a synonym of [[lemon]],2.0
limau kuning,/c/id/limau_kuning/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limau kuning]] is a translation of [[lemon]],2.0
llimoner,/c/ca/llimoner/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[llimoner]] is a translation of [[lemon]],2.0
lemon,/c/en/lemon/n/wn/attribute,Synonym,gamboge,/c/en/gamboge/n/wn/attribute,[[lemon]] is a synonym of [[gamboge]],2.0
lemon,/c/en/lemon/n,Synonym,limun,/c/sh/limun,,2.0
limau kuning,/c/id/limau_kuning/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limau kuning]] is a translation of [[lemon]],2.0
レモン,/c/ja/レモン/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[レモン]] is a translation of [[lemon]],2.0
limau,/c/ms/limau/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[limau]] is a translation of [[lemon]],2.0
llimona,/c/ca/llimona/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[llimona]] is a translation of [[lemon]],2.0
lemon,/c/id/lemon/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[lemon]] is a translation of [[lemon]],2.0
lemon,/c/en/lemon/n/wn/cognition,IsA,relish,/c/en/relish/n/wn/cognition,[[lemon]] is a type of [[relish]],2.0
citron,/c/fr/citron/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[citron]] is a translation of [[lemon]],2.0
cytryna,/c/pl/cytryna/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[cytryna]] is a translation of [[lemon]],2.0
chiotte,/c/fr/chiotte/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[chiotte]] is a translation of [[lemon]],2.0
citronnier,/c/fr/citronnier/n/wn/cognition,Synonym,lemon,/c/en/lemon/n/wn/cognition,[[citronnier]] is a translation of [[lemon]],2.0
limão,/c/pt/limão/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[limão]] is a translation of [[lemon]],2.0
lemon,/c/en/lemon/n/wn/food,IsA,citrus,/c/en/citrus/n/wn/food,[[lemon]] is a type of [[citrus]],2.0
檸檬,/c/ja/檸檬/n/wn/food,Synonym,lemon,/c/en/lemon/n/wn/food,[[檸檬]] is a translation of [[lemon]],2.0
sweet lemon,/c/en/sweet_lemon/n/wn/plant,IsA,lemon,/c/en/lemon/n/wn/plant,[[sweet lemon]] is a type of [[lemon]],2.0
檸檬,/c/ja/檸檬/n,Synonym,lemon,/c/en/lemon,,2.0
芋虫,/c/ja/芋虫/n/wn/artifact,Synonym,lemon,/c/en/lemon/n/wn/artifact,[[芋虫]] is a translation of [[lemon]],2.0
Citrus limon,/c/en/citrus_limon/n/wn/plant,Synonym,lemon,/c/en/lemon/n/wn/plant,[[Citrus limon]] is a synonym of [[lemon]],2.0
lemon,/c/en/lemon,RelatedTo,citron,/c/en/citron,,1.5
柠檬,/c/zh/柠檬,Synonym,lemon,/c/en/lemon,,1.5
lemon,/c/en/lemon,RelatedTo,lime,/c/en/lime,[[lemon]] is related to [[lime]],1.359
lemon,/c/en/lemon,RelatedTo,sour,/c/en/sour,[[lemon]] is related to [[sour]],1.286
lemon,/c/en/lemon/n/wn/food,ExternalURL,107765558-n,http://wordnet-rdf.princeton.edu/wn31/107765558-n,,1.0
ლიმონი,/c/ka/ლიმონი/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,檸檬,/c/nan/檸檬,,1.0
നാരങ്ങ,/c/ml/നാരങ്ങ/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemonless,/c/en/lemonless,DerivedFrom,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,RelatedTo,adverse selection,/c/en/adverse_selection,,1.0
lemon,/c/en/lemon/n,ExternalURL,Lemon,http://sw.opencyc.org/2012/05/10/concept/en/Lemon,,1.0
lemon,/c/en/lemon,RelatedTo,melissa,/c/en/melissa,,1.0
lemon,/c/en/lemon/n,Synonym,citrona,/c/rm/citrona,,1.0
lemon plait,/c/en/lemon_plait/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,sítróna,/c/is/sítróna,,1.0
lemon,/c/en/lemon/n,Synonym,sitronoù,/c/br/sitronoù,,1.0
lemon,/c/en/lemon/n,Synonym,limon,/c/nrf/limon,,1.0
zitrone,/c/de/zitrone/n,RelatedTo,lemon,/c/en/lemon,,1.0
నిమ్మ,/c/te/నిమ్మ/a,RelatedTo,lemon,/c/en/lemon,,1.0
lemonwood,/c/en/lemonwood/n,RelatedTo,lemon,/c/en/lemon,,1.0
citrón,/c/cs/citrón/n,RelatedTo,lemon,/c/en/lemon,,1.0
λεμόνι,/c/el/λεμόνι/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon cake,/c/en/lemon_cake,DerivedFrom,lemon,/c/en/lemon/n,,1.0
lìmunéna,/c/twf/lìmunéna/n,RelatedTo,lemon,/c/en/lemon,,1.0
limone,/c/de/limone/n,Synonym,lemon,/c/en/lemon,,1.0
lemonwood,/c/en/lemonwood,DerivedFrom,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,RelatedTo,favor,/c/en/favor,,1.0
sussex pond pudding,/c/en/sussex_pond_pudding/n,RelatedTo,lemon,/c/en/lemon,,1.0
🍋,/c/mul/🍋,RelatedTo,lemon,/c/en/lemon,,1.0
tarte au citron,/c/fr/tarte_au_citron/n,RelatedTo,lemon,/c/en/lemon,,1.0
queen cake,/c/en/queen_cake/n,RelatedTo,lemon,/c/en/lemon,,1.0
citrina,/c/lt/citrina/n,RelatedTo,lemon,/c/en/lemon,,1.0
檸檬,/c/zh/檸檬/n,RelatedTo,lemon,/c/en/lemon,,1.0
tangad,/c/ceb/tangad/n,RelatedTo,lemon,/c/en/lemon,,1.0
λεμονί,/c/el/λεμονί/n,RelatedTo,lemon,/c/en/lemon,,1.0
mumue,/c/ee/mumue/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,լիմոն,/c/hy/լիմոն,,1.0
זיצטרין,/c/yi/זיצטרין/n,RelatedTo,lemon,/c/en/lemon,,1.0
citriform,/c/en/citriform/a,RelatedTo,lemon,/c/en/lemon,,1.0
lemonary,/c/en/lemonary,DerivedFrom,lemon,/c/en/lemon,,1.0
sauce vierge,/c/fr/sauce_vierge/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,llimón,/c/ast/llimón,,1.0
lemon,/c/en/lemon/n,Synonym,limão,/c/pt/limão,,1.0
lemon,/c/en/lemon/n,Synonym,лімон,/c/be/лімон,,1.0
sitruuna,/c/fi/sitruuna/n,Synonym,lemon,/c/en/lemon,,1.0
lemons,/c/en/lemons/n,FormOf,lemon,/c/en/lemon,,1.0
greek fries,/c/en/greek_fries/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,lemon,/c/cy/lemon,,1.0
scotch mist,/c/en/scotch_mist/n,RelatedTo,lemon,/c/en/lemon,,1.0
լիմոն,/c/hy/լիմոն/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,RelatedTo,limonene,/c/en/limonene,,1.0
grapefruit,/c/en/grapefruit/n,DistinctFrom,lemon,/c/en/lemon,,1.0
檸,/c/zh/檸,Synonym,lemon,/c/en/lemon,,1.0
lemon chicken,/c/en/lemon_chicken/n,RelatedTo,lemon,/c/en/lemon,,1.0
sitruunapuu,/c/fi/sitruunapuu/n,RelatedTo,lemon,/c/en/lemon,,1.0
hollandaise sauce,/c/en/hollandaise_sauce/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,لمون,/c/ar/لمون,,1.0
piccata,/c/it/piccata/n,RelatedTo,lemon,/c/en/lemon,,1.0
citrónový,/c/cs/citrónový/a,Synonym,lemon,/c/en/lemon,,1.0
limonicoltore,/c/it/limonicoltore/n,RelatedTo,lemon,/c/en/lemon,,1.0
lemon,/c/en/lemon/n,Synonym,sidrun,/c/et/sidrun,,1.0
