subject,subject_id,relation,object,object_id,surface_text,weight
milk,/c/en/milk,RelatedTo,cow,/c/en/cow,[[milk]] is related to [[cow]],8.64175908018732
cow,/c/en/cow,RelatedTo,milk,/c/en/milk,[[cow]] is related to [[milk]],7.38430768589717
milk,/c/en/milk,RelatedTo,white,/c/en/white,[[milk]] is related to [[white]],7.059178422451158
milk,/c/en/milk,RelatedTo,drink,/c/en/drink,[[milk]] is related to [[drink]],6.850693395562232
milk,/c/en/milk,AtLocation,the fridge,/c/en/fridge,*Something you find on [[the fridge]] is [[milk]],6.6332495807108
milk,/c/en/milk,RelatedTo,liquid,/c/en/liquid,[[milk]] is related to [[liquid]],6.607268724669826
milk,/c/en/milk,RelatedTo,cows,/c/en/cows,[[milk]] is related to [[cows]],5.29981131739612
Milk,/c/en/milk,IsA,a liquid,/c/en/liquid,[[Milk]] is [[a liquid]],5.291502622129181
Milk,/c/en/milk,HasA,calcium,/c/en/calcium,[[Milk]] contains [[calcium]],4.898979485566356
milk,/c/en/milk,AtLocation,the refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[milk]],4.898979485566356
shake,/c/en/shake,RelatedTo,milk,/c/en/milk,[[shake]] is related to [[milk]],4.697233228188696
milk,/c/en/milk,RelatedTo,dairy,/c/en/dairy,[[milk]] is related to [[dairy]],4.669903639262806
milk,/c/en/milk,RelatedTo,juice,/c/en/juice,[[milk]] is related to [[juice]],4.594779646511898
Milk,/c/en/milk,HasProperty,white,/c/en/white,[[Milk]] is [[white]],4.47213595499958
gallon,/c/en/gallon,RelatedTo,milk,/c/en/milk,[[gallon]] is related to [[milk]],4.104144246977682
milk,/c/en/milk,RelatedTo,cow juice,/c/en/cow_juice,[[milk]] is related to [[cow juice]],3.8141840542899867
milk,/c/en/milk,RelatedTo,white liquid,/c/en/white_liquid,[[milk]] is related to [[white liquid]],3.610540125798355
Milk,/c/en/milk,IsA,a dairy product,/c/en/dairy_product,[[Milk]] is [[a dairy product]],3.4641016151377544
milk,/c/en/milk,RelatedTo,product,/c/en/product,[[milk]] is related to [[product]],3.0809089567853185
milk,/c/en/milk,ReceivesAction,produced by a female cow,/c/en/produced_by_female_cow,[[milk]] is [[produced by a female cow]],2.82842712474619
milk,/c/en/milk,CapableOf,come from mammals,/c/en/come_from_mammals,[[milk]] can [[come from mammals]],2.82842712474619
milk,/c/en/milk,HasA,water,/c/en/water,[[milk]] contains [[water]],2.82842712474619
Milk,/c/en/milk,IsA,a beverage,/c/en/beverage,[[Milk]] is [[a beverage]],2.82842712474619
milk,/c/en/milk,AtLocation,a container,/c/en/container,*Something you find in [[a container]] is [[milk]],2.82842712474619
milk,/c/en/milk,RelatedTo,white drink,/c/en/white_drink,[[milk]] is related to [[white drink]],2.5083859352181035
milk,/c/en/milk,RelatedTo,dairy product,/c/en/dairy_product,[[milk]] is related to [[dairy product]],2.3383755044902435
milk,/c/en/milk,RelatedTo,from cows,/c/en/from_cows,[[milk]] is related to [[from cows]],2.283856387779232
milk,/c/en/milk,RelatedTo,from cow,/c/en/from_cow,[[milk]] is related to [[from cow]],2.217205448306494
milk,/c/en/milk,RelatedTo,cow liquid,/c/en/cow_liquid,[[milk]] is related to [[cow liquid]],2.1697926168184836
milk,/c/en/milk,RelatedTo,beverage,/c/en/beverage,[[milk]] is related to [[beverage]],2.166102490649969
mliječni,/c/sh/mliječni/a,RelatedTo,milk,/c/en/milk,,2.0
esne,/c/eu/esne/n/wn/body,Synonym,milk,/c/en/milk/n/wn/body,[[esne]] is a translation of [[milk]],2.0
susu,/c/ms/susu/n/wn/food,Synonym,milk,/c/en/milk/n/wn/food,[[susu]] is a translation of [[milk]],2.0
Milk,/c/ca/milk/n/wn/object,Synonym,Milk,/c/en/milk/n/wn/object,[[Milk]] is a translation of [[Milk]],2.0
食いものに+する,/c/ja/食いものに_する/v/wn/consumption,Synonym,milk,/c/en/milk/v/wn/consumption,[[食いものに+する]] is a translation of [[milk]],2.0
condensed milk,/c/en/condensed_milk/n/wn/food,IsA,milk,/c/en/milk/n/wn/food,[[condensed milk]] is a type of [[milk]],2.0
colostrum,/c/en/colostrum/n/wn/body,IsA,milk,/c/en/milk/n/wn/body,[[colostrum]] is a type of [[milk]],2.0
