subject,subject_id,relation,object,object_id,surface_text,weight
orange juice,/c/en/orange_juice,AtLocation,the fridge,/c/en/fridge,*Something you find in [[the fridge]] is [[orange juice]],3.4641016151377544
Orange juice,/c/en/orange_juice,HasA,vitamin c,/c/en/vitamin_c,[[Orange juice]] contains [[vitamin c]],2.0
orange juice,/c/en/orange_juice/n/wn/food,IsA,fruit juice,/c/en/fruit_juice/n/wn/food,[[orange juice]] is a type of [[fruit juice]],2.0
laranja-ur,/c/eu/laranja_ur/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[laranja-ur]] is a translation of [[orange juice]],2.0
Orange juice,/c/en/orange_juice,ReceivesAction,made from oranges,/c/en/made_from_oranges,[[Orange juice]] is [[made from oranges]],2.0
suco de laranja,/c/pt/suco_de_laranja/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[suco de laranja]] is a translation of [[orange juice]],2.0
appelsiinimehu,/c/fi/appelsiinimehu/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[appelsiinimehu]] is a translation of [[orange juice]],2.0
オレンジジュース,/c/ja/オレンジジュース/n,Synonym,orange juice,/c/en/orange_juice,,2.0
jus jeruk,/c/id/jus_jeruk/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[jus jeruk]] is a translation of [[orange juice]],2.0
taronjada,/c/ca/taronjada/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[taronjada]] is a translation of [[orange juice]],2.0
jus jeruk,/c/ms/jus_jeruk/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[jus jeruk]] is a translation of [[orange juice]],2.0
frozen orange juice,/c/en/frozen_orange_juice/n/wn/food,IsA,orange juice,/c/en/orange_juice/n/wn/food,[[frozen orange juice]] is a type of [[orange juice]],2.0
sari buah jeruk,/c/id/sari_buah_jeruk/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[sari buah jeruk]] is a translation of [[orange juice]],2.0
น้ำส้ม,/c/th/น้ําส้ม/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[น้ำส้ม]] is a translation of [[orange juice]],2.0
オレンジジュース,/c/ja/オレンジジュース/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[オレンジジュース]] is a translation of [[orange juice]],2.0
orange juice,/c/en/orange_juice,IsA,a common source of vitamin c,/c/en/common_source_of_vitamin_c,[[orange juice]] is [[a common source of vitamin c]],2.0
laranja-zuku,/c/eu/laranja_zuku/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[laranja-zuku]] is a translation of [[orange juice]],2.0
น้ำส้มคั้น,/c/th/น้ําส้มคั้น/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[น้ำส้มคั้น]] is a translation of [[orange juice]],2.0
sok pomarańczowy,/c/pl/sok_pomarańczowy/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[sok pomarańczowy]] is a translation of [[orange juice]],2.0
zumo de naranja,/c/es/zumo_de_naranja/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[zumo de naranja]] is a translation of [[orange juice]],2.0
orange juice,/c/en/orange_juice,AtLocation,the refrigerator,/c/en/refrigerator,*Something you find in [[the refrigerator]] is [[orange juice]],2.0
suc de taronja,/c/ca/suc_de_taronja/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[suc de taronja]] is a translation of [[orange juice]],2.0
jus d'orange,/c/fr/jus_d_orange/n/wn/food,Synonym,orange juice,/c/en/orange_juice/n/wn/food,[[jus d'orange]] is a translation of [[orange juice]],2.0
