subject,subject_id,relation,object,object_id,surface_text,weight
a spoon,/c/en/spoon,UsedFor,Eating,/c/en/eating,[[a spoon]] is for [[Eating]],6.928203230275509
a spoon,/c/en/spoon,AtLocation,bowl,/c/en/bowl,You are likely to find [[a spoon]] in [[bowl]],2.82842712474619
a spoon,/c/en/spoon,AtLocation,dinner,/c/en/dinner,*Something you find at [[dinner]] is [[a spoon]],2.82842712474619
A spoon,/c/en/spoon,IsA,a utensil,/c/en/utensil,[[A spoon]] is [[a utensil]],2.82842712474619
cuillère,/c/fr/cuillère/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[cuillère]] is a translation of [[spoon]],2.0
colher,/c/pt/colher/n/wn/quantity,Synonym,spoon,/c/en/spoon/n/wn/quantity,[[colher]] is a translation of [[spoon]],2.0
匕,/c/ja/匕/n,Synonym,spoon,/c/en/spoon,,2.0
ช้อน,/c/th/ช้อน/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[ช้อน]] is a translation of [[spoon]],2.0
spoon,/c/en/spoon/n/wn/quantity,IsA,containerful,/c/en/containerful/n/wn/quantity,[[spoon]] is a type of [[containerful]],2.0
culler,/c/gl/culler/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[culler]] is a translation of [[spoon]],2.0
"sudu penuh,camca penuh",/c/id/sudu_penuh_camca_penuh/n/wn/quantity,Synonym,spoon,/c/en/spoon/n/wn/quantity,"[[sudu penuh,camca penuh]] is a translation of [[spoon]]",2.0
mazza da golf a cucchiaio,/c/it/mazza_da_golf_a_cucchiaio/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[mazza da golf a cucchiaio]] is a translation of [[spoon]],2.0
dessert spoon,/c/en/dessert_spoon/n/wn/artifact,IsA,spoon,/c/en/spoon/n/wn/artifact,[[dessert spoon]] is a type of [[spoon]],2.0
kauhoa,/c/fi/kauhoa/v/wn/contact,Synonym,spoon,/c/en/spoon/v/wn/contact,[[kauhoa]] is a translation of [[spoon]],2.0
cucharear,/c/es/cucharear/v/wn/contact,Synonym,spoon,/c/en/spoon/v/wn/contact,[[cucharear]] is a translation of [[spoon]],2.0
sudu,/c/ms/sudu/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[sudu]] is a translation of [[spoon]],2.0
勺,/c/zh/勺/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[勺]] is a translation of [[spoon]],2.0
כַּף,/c/he/כף/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[כַּף]] is a translation of [[spoon]],2.0
cucchiaio,/c/it/cucchiaio/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[cucchiaio]] is a translation of [[spoon]],2.0
cuillère,/c/fr/cuillère/v/wn/contact,Synonym,spoon,/c/en/spoon/v/wn/contact,[[cuillère]] is a translation of [[spoon]],2.0
colher,/c/pt/colher/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[colher]] is a translation of [[spoon]],2.0
camca,/c/id/camca/n/wn/artifact,Synonym,spoon,/c/en/spoon/n/wn/artifact,[[camca]] is a translation of [[spoon]],2.0
lusikallinen,/c/fi/lusikallinen/n/wn/quantity,Synonym,spoon,/c/en/spoon/n/wn/quantity,[[lusikallinen]] is a translation of [[spoon]],2.0
