subject,subject_id,relation,object,object_id,surface_text,weight
فنجان چای,/c/fa/فنجان_چای/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[فنجان چای]] is a translation of [[teacup]],2.0
teacupful,/c/en/teacupful/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[teacupful]] is a synonym of [[teacup]],2.0
tasse à thé,/c/fr/tasse_à_thé/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[tasse à thé]] is a translation of [[teacup]],2.0
kikara,/c/eu/kikara/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[kikara]] is a translation of [[teacup]],2.0
teekuppi,/c/fi/teekuppi/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[teekuppi]] is a translation of [[teacup]],2.0
湯呑み,/c/ja/湯呑み/n,Synonym,teacup,/c/en/teacup,,2.0
茶わん,/c/ja/茶わん/n,Synonym,teacup,/c/en/teacup,,2.0
ティーカップ,/c/ja/ティーカップ/n,Synonym,teacup,/c/en/teacup,,2.0
ถ้วยชา,/c/th/ถ้วยชา/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[ถ้วยชา]] is a translation of [[teacup]],2.0
secangkir teh,/c/id/secangkir_teh/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[secangkir teh]] is a translation of [[teacup]],2.0
teekupillinen,/c/fi/teekupillinen/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[teekupillinen]] is a translation of [[teacup]],2.0
ティーカップ,/c/ja/ティーカップ/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[ティーカップ]] is a translation of [[teacup]],2.0
湯のみ,/c/ja/湯のみ/n,Synonym,teacup,/c/en/teacup,,2.0
湯飲み,/c/ja/湯飲み/n,Synonym,teacup,/c/en/teacup,,2.0
tea cup,/c/en/tea_cup/n,FormOf,teacup,/c/en/teacup,,2.0
te-katilu,/c/eu/te_katilu/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[te-katilu]] is a translation of [[teacup]],2.0
te-katilukada,/c/eu/te_katilukada/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[te-katilukada]] is a translation of [[teacup]],2.0
tasse à thé,/c/fr/tasse_à_thé/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[tasse à thé]] is a translation of [[teacup]],2.0
cawan teh,/c/ms/cawan_teh/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[cawan teh]] is a translation of [[teacup]],2.0
teacup,/c/en/teacup/n/wn/quantity,IsA,containerful,/c/en/containerful/n/wn/quantity,[[teacup]] is a type of [[containerful]],2.0
cawan teh,/c/id/cawan_teh/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[cawan teh]] is a translation of [[teacup]],2.0
จอก,/c/th/จอก/n/wn/quantity,Synonym,teacup,/c/en/teacup/n/wn/quantity,[[จอก]] is a translation of [[teacup]],2.0
茶碗,/c/ja/茶碗/n,Synonym,teacup,/c/en/teacup,,2.0
จอกชา,/c/th/จอกชา/n/wn/artifact,Synonym,teacup,/c/en/teacup/n/wn/artifact,[[จอกชา]] is a translation of [[teacup]],2.0
handle,/c/en/handle/n/wn/artifact,PartOf,teacup,/c/en/teacup/n/wn/artifact,[[handle]] is a part of [[teacup]],2.0
teacup,/c/en/teacup/n/wn/artifact,IsA,cup,/c/en/cup/n/wn/artifact,[[teacup]] is a type of [[cup]],2.0
茶飲み茶碗,/c/ja/茶飲み茶碗/n,Synonym,teacup,/c/en/teacup,,2.0
teacup,/c/en/teacup/a,RelatedTo,smaller,/c/en/smaller,,1.0
teacup,/c/en/teacup/n,RelatedTo,drinking,/c/en/drinking,,1.0
tekopp,/c/no/tekopp/n,RelatedTo,teacup,/c/en/teacup,,1.0
teacup,/c/en/teacup/n,Synonym,чашка,/c/bg/чашка,,1.0
teacup,/c/en/teacup/n,RelatedTo,tea,/c/en/tea,,1.0
teacup,/c/en/teacup/n,Synonym,찻잔,/c/ko/찻잔,,1.0
teacuplike,/c/en/teacuplike/a,RelatedTo,teacup,/c/en/teacup,,1.0
teetasse,/c/de/teetasse/n,Synonym,teacup,/c/en/teacup,,1.0
teacup,/c/en/teacup/n,Synonym,чајна шолја,/c/mk/чајна_шолја,,1.0
A teacup,/c/en/teacup,IsA,a dish,/c/en/dish,[[A teacup]] is [[a dish]],1.0
ティーカップ,/c/ja/ティーカップ/n,RelatedTo,teacup,/c/en/teacup,,1.0
teacup,/c/en/teacup/n,Synonym,tekop,/c/da/tekop,,1.0
teacup,/c/en/teacup/n,Synonym,чашка,/c/ru/чашка,,1.0
teacup,/c/en/teacup/n,Synonym,teetasse,/c/de/teetasse,,1.0
