title,href,ingredients
Flavored Butters,http://www.recipezaar.com/Flavored-Butters-185166,butter
Fried Bittersweet Chocolate Bread,http://www.epicurious.com/recipes/food/views/Fried-Bittersweet-Chocolate-Bread-236691,butter
Make It Yourself--flavored Butters Recipe,http://www.grouprecipes.com/69143/make-it-yourself--flavored-butters.html,butter
Emergency Substitutions Recipe,http://www.grouprecipes.com/37211/emergency-substitutions.html,butter
"
Herb Butter Recipe

",http://cookeatshare.com/recipes/herb-butter-28980,butter
"
Melted Herbed Butter Recipe

",http://cookeatshare.com/recipes/melted-herbed-butter-30574,butter
"
Easy Christmas Candy Recipe

",http://cookeatshare.com/recipes/easy-christmas-candy-16496,butter
"
Unbeatable Eggless Spice Cake Recipe

",http://cookeatshare.com/recipes/unbeatable-eggless-spice-cake-14223,butter
"Fudge Fondue 
		
	
		
	
		
	
	

",http://www.kraftfoods.com/kf/recipes/fudge-fondue-51563.aspx,"hot fudge, butter"
"Chocolate Glaze 
		
	
		
	
		
	
	

",http://www.kraftfoods.com/kf/recipes/chocolate-glaze-56131.aspx,"semisweet chocolate, butter"
"Grilled Cheese Sandwich Sticks 

",http://www.kraftfoods.com/kf/recipes/grilled-cheese-sandwich-sticks-54529.aspx,"bread, butter"
"Grilled Cheese Sandwich Sticks 

",http://www.kraftfoods.com/kf/recipes/grilled-cheese-sandwich-sticks-54529.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"bread, butter"
Shiny Chocolate Glaze,http://allrecipes.com/Recipe/Shiny-Chocolate-Glaze/Detail.aspx,"corn syrup, butter"
Kellogg's&#174; Cocoa Krispies&#8482; Choconilla&#8482; Marshmallow Treats,http://allrecipes.com/Recipe/Kelloggs-Cocoa-Krispies-Choconilla-Marshmallow-Treats/Detail.aspx,"butter, cereal"
Bourbon Chicken,http://www.recipezaar.com/Bourbon-Chicken-305109,"chicken, butter"
Baked Beets,http://www.recipezaar.com/Baked-Beets-122613,"beets, butter"
Baked Potatoes,http://www.recipezaar.com/Baked-Potatoes-246604,"butter, potato"
Best Grill Roasted Corn on the Cob,http://www.recipezaar.com/Best-Grill-Roasted-Corn-on-the-Cob-173201,"butter, corn"
Butter Curls,http://www.recipezaar.com/Butter-Curls-241726,"butter, water"
Cajun Blackened Salmon,http://www.recipezaar.com/Cajun-Blackened-Salmon-278329,"butter, salmon"
Chicken Breasts With Apple Curry Sauce,http://www.recipezaar.com/Chicken-Breasts-With-Apple-Curry-Sauce-188011,"chicken, butter"
Chipotle Compound Butter,http://www.recipezaar.com/Chipotle-Compound-Butter-195792,"butter, chipotle peppers"
"clarified butter or ""ghee""",http://www.recipezaar.com/clarified-butter-or-ghee-71031,"butter, coffee"
Cooked Mushrooms,http://www.recipezaar.com/Cooked-Mushrooms-123980,"butter, mushroom"
Crock Pot Caramelized Onions,http://www.recipezaar.com/Crock-Pot-Caramelized-Onions-191625,"butter, onions"
Easy Parker House Rolls,http://www.recipezaar.com/Easy-Parker-House-Rolls-125558,"butter, bread dough"
Garlic Butter for Steaks and Mash Potatoes,http://www.recipezaar.com/garlic-butter-for-steaks-and-mash-potatoes-358993,"butter, garlic"
Gingersnap Crumble Ice Cream Tart,http://www.recipezaar.com/Gingersnap-Crumble-Ice-Cream-Tart-36235,"butter, vanilla ice cream"
Gorilla Bread for Little Monkeys,http://www.recipezaar.com/Gorilla-Bread-for-Little-Monkeys-256108,"butter, biscuits"
Easy Baklava,http://www.recipezaar.com/Easy-Baklava-83507,"butter, phyllo dough"
Honey Butter,http://allrecipes.com/Recipe/Honey-Butter-501/Detail.aspx,"butter, honey"
Grilled Corn,http://www.recipezaar.com/Grilled-Corn-29366,"butter, corn"
Butter Roasted Carrots,http://www.recipezaar.com/Butter-Roasted-Carrots-137144,"butter, carrot"
Freezer Caramel Drizzle Pie,http://allrecipes.com/Recipe/Freezer-Caramel-Drizzle-Pie/Detail.aspx,"butter, pecan"
Garlic Croutons,http://allrecipes.com/Recipe/Garlic-Croutons/Detail.aspx,"butter, garlic"
Honey Butter,http://allrecipes.com/Recipe/Honey-Butter/Detail.aspx,"butter, honey"
Hot Fudge Sauce,http://allrecipes.com/Recipe/Hot-Fudge-Sauce/Detail.aspx,"butter, vanilla extract"
Browned Buttered Egg Noodles,http://www.recipezaar.com/Browned-Buttered-Egg-Noodles-64252,"butter, egg noodles"
Graham-cracker Crust (microwave),http://www.recipezaar.com/Graham-cracker-Crust-microwave-96877,"butter, graham cracker"
Baked Sweet Potatoes,http://www.recipezaar.com/Baked-Sweet-Potatoes-10254,"butter, sweet potato"
Neiman Marcus Strawberry Butter,http://www.recipezaar.com/Neiman-Marcus-Strawberry-Butter-67046,"butter, strawberry preserves"
Blackened Chicken,http://www.recipezaar.com/Blackened-Chicken-64157,"chicken, butter"
Fabulous Beef Tenderloin,http://allrecipes.com/Recipe/Fabulous-Beef-Tenderloin/Detail.aspx,"butter, soy sauce"
"Toasted Coconut, Pecan, and Caramel Pie",http://allrecipes.com/Recipe/Toasted-Coconut-Pecan-and-Caramel-Pie/Detail.aspx,"butter, pecan"
Cereal Treats II,http://allrecipes.com/Recipe/Cereal-Treats-II/Detail.aspx,"butter, crisp rice cereal"
Honey Butter,http://allrecipes.com/Recipe/Honey-Butter-2/Detail.aspx,"butter, honey"
Cornbread Casserole,http://allrecipes.com/Recipe/Cornbread-Casserole/Detail.aspx,"butter, sour cream"
Dirt Cake III,http://allrecipes.com/Recipe/Dirt-Cake-III/Detail.aspx,"butter, milk"
Rocky Road Candies,http://allrecipes.com/Recipe/Rocky-Road-Candies/Detail.aspx,"butter, peanuts"
Chocolate Shell Sauce,http://allrecipes.com/Recipe/Chocolate-Shell-Sauce/Detail.aspx,"butter, semisweet chocolate chips"
