title,href,ingredients
Hard_Boiled_Eggs_Mf,http://www.bigoven.com/95446-Hard-Boiled-Eggs-(Mf)-recipe.html,egg
Zippy_Zucchini_Cakes_With_Tomato_Pesto_Pasta_Recipe,http://www.grouprecipes.com/68617/zippy-zucchini-cakes-with-tomato-pesto-pasta.html,"egg, pine nuts"
Quail_Eggs_with_Toasted-Sesame_Salt,http://www.epicurious.com/recipes/food/views/Quail-Eggs-with-Toasted-Sesame-Salt-101498,"sea salt, egg, sesame seed"
Home_Made_Noodles_Recipe,http://www.grouprecipes.com/21299/home-made-noodles.html,"egg, flour, salt"
Breakfast_Quiches_-_South_Beach_Recipe,http://www.grouprecipes.com/50294/breakfast-quiches---south-beach.html,"egg, onions, green pepper"
Birds_Nest_Eggs_and_Toast,http://www.bigoven.com/38317-Birds-Nest-(Eggs-and-Toast)-recipe.html,"bread, egg, butter"
Zucchini_Casserole_Recipe,http://www.grouprecipes.com/51812/zucchini-casserole.html,"black pepper, egg, crackers, zucchini"
Spaghetti_Fritta_Recipe,http://www.grouprecipes.com/18554/spaghetti-fritta.html,"egg, bacon, salt, garlic"
Sunflower_Chip_Crusted_Chicken,http://www.recipe4living.com/recipes/sunflower_chip_crusted_chicken.htm,"chips, egg, skim milk, chicken"
Cream_Cheese_And_Chive_Scrambled_Eggs,http://www.bigoven.com/145344-Cream-Cheese-And-Chive-Scrambled-Eggs-recipe.html,"egg, cream cheese, chives, butter"
Chicken_Fingers_Recipe,http://cookeatshare.com/recipes/chicken-fingers-3974,"chicken, bread, salt, egg"
Custard_Sauce_Recipe,http://cookeatshare.com/recipes/custard-sauce-12837,"egg, sugar, lowfat milk, salt"
Als_Chicken_Schnitzel,http://www.bigoven.com/16647-Als-Chicken-Schnitzel-recipe.html,"chicken, egg, flour, bread crumbs"
Grandmas_Stuffed_Cabbages_Recipe,http://cookeatshare.com/recipes/grandma-s-stuffed-cabbages-19436,"savoy cabbage, rice, onions, egg"
Peach_Pie_Recipe,http://cookeatshare.com/recipes/peach-pie-31746,"egg, flour, sugar, butter"
Breakfast_Pizza_Recipe,http://cookeatshare.com/recipes/breakfast-pizza-56678,"crescent rolls, sausage, egg, cheese"
Spinach_Quiche_Recipe,http://www.grouprecipes.com/5983/spinach-quiche.html,"bacon, cheese, egg, pastry, spinach"
Sweet_Tater_Pie_Recipe,http://www.grouprecipes.com/24358/sweet-tater-pie.html,"milk, tea, pie crust, egg, sugar"
Baked_Tilapia__And_Cilantro_Recipe,http://www.grouprecipes.com/86044/baked-tilapia-and-cilantro.html,"lemon, bread crumbs, cilantro, egg, seasoning"
Double_Chocolate_Brownies_Recipe,http://cookeatshare.com/recipes/double-chocolate-brownies-5107,"water, chocolate syrup, semisweet chocolate, vegetable oil, egg"
Boiled_Custard_Recipe,http://cookeatshare.com/recipes/boiled-custard-8790,"lowfat milk, egg, sugar, flour, vanilla extract"
Turkey_Quiche_Recipe,http://cookeatshare.com/recipes/turkey-quiche-34083,"stuffing, evaporated, turkey, swiss cheese, egg"
Chocolate_Peach_Cake_Recipe,http://www.grouprecipes.com/36057/chocolate-peach-cake.html,"chocolate, chocolate, cool whip, peach, egg, vegetable oil, water"
Grandmas_Cream_Layer_Cake_Recipe,http://www.grouprecipes.com/61725/grandmas-cream-layer-cake.html,"flour, sugar, sweet milk, egg, butter, baking powder"
Mini_Crustless_Ham_And_Egg_Tarts_Recipe,http://www.grouprecipes.com/85461/mini-crustless-ham-and-egg-tarts.html,"egg, cherry tomato, chives, parmesan cheese, ham, olive oil"
