title,href,ingredients
Kahla Cooler Recipe,http://www.grouprecipes.com/2910/kahla-cooler.html,milk
The Oreo Ritual Recipe,http://www.grouprecipes.com/43289/the-oreo-ritual.html,milk
Eclair Cake Recipe,http://www.grouprecipes.com/35690/eclair-cake.html,milk
The Hummer Drink Recipe,http://www.grouprecipes.com/58877/the-hummer-drink.html,milk
Banana Pudding Pops,http://www.eatingwell.com/recipes/banana_pudding_pops.html,milk
Sweet Potato Casserole,http://www.eatingwell.com/recipes/sweet_potato_casserole.html,milk
Caramelized Pear Bread Pudding,http://www.eatingwell.com/recipes/pear_bread_pudding.html,milk
Baked Apple-Cinnamon French Toast,http://www.eatingwell.com/recipes/apple_cinnamon_french_toast.html,milk
Creamed Spinach ,http://www.eatingwell.com/recipes/creamed_spinach.html,milk
Broccoli & Goat Cheese Souffl&#233;,http://www.eatingwell.com/recipes/broccoli_cheese_souffle.html,milk
,,
"Cafe Latte 
		
",http://www.kraftfoods.com/kf/recipes/cafe-latte-54971.aspx,"milk, espresso"
"Cheesy Apple Rings 
		
",http://www.kraftfoods.com/kf/recipes/cheesy-apple-rings-75577.aspx,"apple, milk"
"Cafe Latte 
		
",http://www.kraftfoods.com/kf/recipes/cafe-latte-54971.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"milk, espresso"
"JELL-O Homemade Pudding Pops 
		
",http://www.kraftfoods.com/kf/recipes/jell-o-homemade-pudding-pops-53221.aspx,"jello, milk"
"Pudding Poke Brownies 

",http://www.kraftfoods.com/kf/recipes/pudding-poke-brownies-57178.aspx,"milk, jello"
"Simple Powdered Sugar Icing 
		
	
		
	
		
	
	

",http://www.kraftfoods.com/kf/recipes/simple-powdered-sugar-icing-56132.aspx,"powdered sugar, milk"
"Easy JELL-O® Pudding Milk Shake 
		
	
		
	
		
	
	

",http://www.kraftfoods.com/kf/recipes/easy-jell-o-pudding-milk-50880.aspx,"milk, jello"
"JELL-O Homemade Pudding Pops 
		
",http://www.kraftfoods.com/kf/recipes/jell-o-homemade-pudding-pops-53221.aspx?cm_re=1-_-1-_-RecipeAlsoEnjoy,"jello, milk"
"Powdered Sugar Icing 
		
	
		
	
		
	
	

",http://www.kraftfoods.com/kf/recipes/powdered-sugar-icing-56138.aspx,"powdered sugar, milk"
Green Chili Tomato Soup,http://allrecipes.com/Recipe/Green-Chili-Tomato-Soup/Detail.aspx,"cheddar cheese, milk"
Easy Arabic Yogurt,http://www.recipezaar.com/Arabic-Yogurt-353740,"milk, yogurt"
Frozen Pudding Pops,http://www.recipezaar.com/Frozen-Pudding-Pops-86682,"pudding, milk"
Nutella Hot Chocolate,http://www.recipezaar.com/Nutella-Hot-Chocolate-74086,"milk, nutella"
Substitute for Buttermilk,http://www.recipezaar.com/Substitute-for-Buttermilk-124413,"lemon juice, milk"
Bisquick Dumplings,http://www.recipezaar.com/Bisquick-Dumplings-269611,"bisquick, milk"
Turkey Pot Pie III,http://allrecipes.com/Recipe/Turkey-Pot-Pie-III/Detail.aspx,"turkey, milk"
Fluff Dip for Fruit,http://allrecipes.com/Recipe/Fluff-Dip-for-Fruit/Detail.aspx,"amaretto liqueur, milk"
Death by Chocolate,http://allrecipes.com/Recipe/Death-by-Chocolate/Detail.aspx,"milk, coffee"
Kool-Aid Sherbet,http://allrecipes.com/Recipe/Kool-Aid-Sherbet/Detail.aspx,"milk, sugar"
Insomnia No More With Honey Induced Sweet Dreams,http://www.recipezaar.com/Insomnia-No-More-With-Honey-Induced-Sweet-Dreams-112723,"honey, milk"
Chocolate Fudge Pops,http://allrecipes.com/Recipe/Chocolate-Fudge-Pops/Detail.aspx,"milk, sugar"
Mock Lemon Chiffon Cake,http://allrecipes.com/Recipe/Mock-Lemon-Chiffon-Cake/Detail.aspx,"milk, strawberries"
Coconut Cream Pie I,http://allrecipes.com/Recipe/Coconut-Cream-Pie-I/Detail.aspx,"flaked coconut, milk"
Berry Trifle,http://allrecipes.com/Recipe/Berry-Trifle/Detail.aspx,"milk, liqueur"
Dirt Cake III,http://allrecipes.com/Recipe/Dirt-Cake-III/Detail.aspx,"butter, milk"
Chocolate Eclair Dessert,http://allrecipes.com/Recipe/Chocolate-Eclair-Dessert/Detail.aspx,"graham cracker, milk"
Cool Whipped Frosting,http://allrecipes.com/Recipe/Cool-Whipped-Frosting/Detail.aspx,"milk, vanilla extract"
Chocolate Eclair,http://allrecipes.com/Recipe/Chocolate-Eclair/Detail.aspx,"powdered sugar, milk"
Batido De Mango (Mango Shake),http://www.recipezaar.com/Batido-De-Mango-Mango-Shake-120817,"mango, milk"
Easy-Bake Oven Cake Using Commercial Cake Mixes,http://www.recipezaar.com/Easy-Bake-Oven-Cake-Using-Commercial-Cake-Mixes-147458,"cake mix, milk"
